idAkcije,naziv
0,0
1,GOL
2,POKUSAJI ASISTENCIJE
3,ATRAKTIVNO
4,CENTARSUT
6,DRIBLING
7,DUEL IGRACA
10,KARTONI
11,KLIZECI START
12,KONTRA NAPAD
13,KORNER
15,LOPTA PO ZRAKU
16,NESPORTSKO PONASANJE
17,OBRANA OD PROTIVNIKA
18,ODUZETE LOPTE
19,OSTALA DODAVANJA
20,JEDANAESTERAC
21,PREKID IGRE
22,PREKID IGRE
23,PRILIKA ZA GOL
26,SIMULIRANJE
28,SUDAC
30,UDARAC
31,UDARAC U OKVIR
32,VELIKE POGRESKE
33,ZALEDE
34,1 NA 1 S GOLMANOM
35,ATRAKTIVAN
36,ATRAKTIVAN DRIBLING
38,ATRAKTIVAN POTEZ IGRAC
39,ATRAKTIVAN UDARAC IGRAC
40,ATRAKTIVNA
48,AUTOGOL
50,BLOK UDARAC
51,BOKSAN
52,BOKSAN CENTARSUT
55,CRVENI DIREKTNO
56,DESNA NOGA
57,DIJAGONALA
58,DIJAGONALNA NETOCNA
59,DIJAGONALNA TOCNA
60,DOBAR
61,DOBIVEN DUEL - ODUZETA LOPTA
62,DOBRA PROCJENA
63,DOBRA PROCJENA ISTRCAVANJA
64,DODAVANJE RUKOM DUGO
65,DODAVANJE RUKOM KRATKO
67,DRIBLING VISE IGRACA
68,DRUGI ZUTI/CRVENI
72,GLAVOM
73,GOL IZ JEDANAESTERCA
74,GOL OD PROTIVNICKOG IGRACA
75,GOL OUT
78,ISPUCAVANJE NAPAMET
79,ISPUCAVANJE NETOCNO
80,ISPUCAVANJE TOCNO
81,IZ CENTARSUTA
82,IZ KORNERA
83,IZ SLOBODNOG UDARCA
84,IZ VOLEJA
86,IZGUBLJEN DUEL
87,IZGUBLJEN KORNER
91,JEDAN NA JEDAN OBRANA
95,KLIZECI START ODUZETA LOPTA
96,KLIZECI START PREKRSAJ
98,KOMBINACIJA
99,KRIV ZA GOL
100,KVALITETNO UTRCAVANJE U PROSTOR
101,LIJEVA NOGA
102,LOPTA U PROSTOR PO ZEMLJI NETOCNA
103,LOPTA U PROSTOR PO ZEMLJI TOCNA
104,LOPTA U PROSTOR PO ZRAKU NETOCNA
105,LOPTA U PROSTOR PO ZRAKU TOCNA
106,LOS
109,MINIMALNO ZALEDE
111,NESPRETNA INTERVENCIJA
113,NOGOM
114,OBRANA 100% SANSE
115,OBRANA NISKO
116,OBRANA NOGOM
117,OBRANA VISOKO
118,ODBIJENA LOPTA
