ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257313,6261,1.61,6.7,232,0,250,66692,13,LCB,OUT,0,IZGUBLJEN OUT,0,0,0,2,home,458,999,400.32,804.32,,55.57,0,0.0,1.61,2.7,FirstHalf,right,5.09,1.09,6,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257318,6261,1.61,6.7,19,232,58,66692,13,LCB,OSTALA DODAVANJA,OUT,DIJAGONALNA NETOCNA,0,0,0,2,home,458,999,400.32,804.32,,55.57,0,0.0,1.61,2.7,FirstHalf,right,5.09,1.09,6,15,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257381,6261,44.66,47.05,248,0,0,206309,14,RCB,NETOCNO DODAVANJE,0,0,96310,20,LW,1,home,229,417,486.32,565.32,,16.55,0,0.0,44.66,44.81,FirstHalf,right,2.39,0.15,9,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257385,6261,44.66,47.05,19,248,72,206309,14,RCB,OSTALA DODAVANJA,NETOCNO DODAVANJE,GLAVOM,96310,20,LW,1,home,229,417,486.32,565.32,,16.55,0,0.0,44.66,44.81,FirstHalf,right,2.39,0.15,9,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257390,6261,44.66,47.05,211,248,248,206309,14,RCB,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,96310,20,LW,1,home,229,417,486.32,565.32,,16.55,0,0.0,44.66,44.81,FirstHalf,right,2.39,0.15,9,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257399,6261,48.42,49.75,248,0,0,206309,14,RCB,NETOCNO DODAVANJE,0,0,78198,16,RCM,1,home,255,447,517.32,605.32,,17.17,0,0.0,48.42,48.62,FirstHalf,right,1.33,0.2,9,10,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257430,6261,53.89,55.28,13,0,87,16491,21,RW,KORNER,0,IZGUBLJEN KORNER,0,0,0,1,home,176,43,758.32,776.32,,10.79,0,0.0,53.89,53.98,FirstHalf,right,1.39,0.09,13,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257432,6261,53.89,55.28,211,13,13,16491,21,RW,NIJE IZGUBLJENA,KORNER,KORNER,0,0,0,1,home,176,43,758.32,776.32,,10.79,0,0.0,53.89,53.98,FirstHalf,right,1.39,0.09,13,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257437,6261,53.89,55.28,17,13,303,16491,21,RW,OBRANA OD PROTIVNIKA,KORNER,BLOKIRAN CENTARSUT,0,0,0,1,home,176,43,758.32,776.32,,10.79,0,0.0,53.89,53.98,FirstHalf,right,1.39,0.09,13,13,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
6257708,6261,155.82,162.01,247,0,0,16087,4,RB,TOCNO DODAVANJE,0,0,206309,14,RCB,6,home,348,275,683.32,566.32,,11.61,0,0.0,155.82,160.9,FirstHalf,right,6.19,5.08,13,9,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,1
