id,label,weighted_indegree,weighted_outdegree
44079,S. Reinartz,4159.0,1545.0
196633,B. Oczipka,17970.0,36279.0
21022,L. Abraham,15978.0,35145.0
196661,A. Ignjovski,4919.0,2892.0
199745,M. Stendera,20782.0,22864.0
5335,M. Hasebe,15207.0,27709.0
16520,S. Aigner,17484.0,6799.0
77888,H. Seferovic,17726.0,5167.0
1802,A. Meier,15452.0,4030.0
39442,C. Zambrano,12740.0,22649.0
8570,L. Hradecky,18714.0,21155.0
102895,L. Castaignos,364.0,27.0
205986,D. Kinsombi,445.0,155.0
40700,S. Medojevic,5808.0,1471.0
57720,T. Chandler,1089.0,539.0
206102,J. Gerezgiher,323.0,13.0
206101,G. Waldschmidt,2325.0,190.0
203576,M. Gacinovic,4214.0,412.0
67519,V. Kadlec,256.0,40.0
1790,M. Russ,13430.0,10813.0
12956,C. Djakpa,996.0,102.0
214449,N. Rinderknecht,141.0,3.0
1770,S. Huszti,14816.0,12616.0
22870,M. Fabian,15245.0,10804.0
201624,K. Ayhan,1328.0,109.0
212914,Y. Regasel,4711.0,5141.0
7466,A. Ben-Hatira,1462.0,100.0
143853,S. Kittel,715.0,30.0
