id,label,weighted_indegree,weighted_outdegree
196633,B. Oczipka,9071.0,16069.0
21022,L. Abraham,7917.0,14842.0
44079,S. Reinartz,2834.0,1061.0
196661,A. Ignjovski,2538.0,1289.0
199745,M. Stendera,9680.0,10235.0
5335,M. Hasebe,7733.0,11628.0
16520,S. Aigner,6154.0,3138.0
77888,H. Seferovic,6115.0,2368.0
1802,A. Meier,4616.0,1589.0
39442,C. Zambrano,6165.0,10663.0
8570,L. Hradecky,5021.0,5491.0
102895,L. Castaignos,87.0,5.0
40700,S. Medojevic,2527.0,923.0
57720,T. Chandler,491.0,171.0
206102,J. Gerezgiher,183.0,3.0
206101,G. Waldschmidt,971.0,97.0
203576,M. Gacinovic,1302.0,224.0
1790,M. Russ,4941.0,5195.0
67519,V. Kadlec,163.0,15.0
205986,D. Kinsombi,222.0,37.0
12956,C. Djakpa,455.0,50.0
214449,N. Rinderknecht,22.0,2.0
1770,S. Huszti,7582.0,5489.0
22870,M. Fabian,7036.0,5132.0
201624,K. Ayhan,350.0,63.0
212914,Y. Regasel,2186.0,1820.0
7466,A. Ben-Hatira,1073.0,74.0
143853,S. Kittel,258.0,20.0
