id,label,weighted_indegree,weighted_outdegree
16894,F. Johnson,37796.0,22200.0
11500,Raffael,41308.0,31543.0
102647,G. Xhaka,43227.0,64735.0
4610,O. Wendt,39605.0,52921.0
66692,A. Dominguez,2421.0,353.0
39479,L. Stindl,52718.0,36537.0
16087,H. Nordtveit,39854.0,90382.0
206309,A. Christensen,41188.0,72764.0
11341,Y. Sommer,42926.0,33030.0
16491,I. Traore,16647.0,5374.0
205485,M. Dahoud,35648.0,29800.0
115078,J. Drmic,12306.0,2276.0
156709,T. Hazard,24193.0,9798.0
205180,N. Elvedi,21146.0,24142.0
126631,J. Korb,24045.0,16982.0
65256,T. Jantschke,5204.0,1297.0
206094,M. Schulz,681.0,31.0
175582,B. Hrgota,1958.0,87.0
16901,R. Brouwers,83.0,32.0
185121,J. Hofmann,3467.0,179.0
127794,M. Hinteregger,13352.0,7846.0
4613,M. Stranzl,9.0,13.0
101192,P. Herrmann,2639.0,99.0
