playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,poss_duration,start_sector,end_sector,playerName,targetName,Weight
199745,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,102895,ST,865,728,302.32,171.32,4.01,7,3,M. Stendera,L. Castaignos,1
1802,CAM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,40700,RCM,700,693,301.32,440.32,0.0,6,6,A. Meier,S. Medojevic,1
16520,RW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,1091,963,90.32,111.32,1.23,4,3,S. Aigner,H. Seferovic,1
40700,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,203576,LW,1013,1021,579.32,644.32,0.69,11,11,S. Medojevic,M. Gacinovic,1
44079,LDM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,908,632,193.32,355.32,0.19,3,6,S. Reinartz,H. Seferovic,1
44079,LDM,KONTRA NAPAD,TOCNO DODAVANJE,POCETAK KONTRA NAPADA 1,199745,CAM,928,864,347.32,397.32,0.17,7,7,S. Reinartz,M. Stendera,1
1802,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,12956,LB,1031,1146,363.32,314.32,2.63,7,8,A. Meier,C. Djakpa,1
77888,ST,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,67519,LW,591,594,223.32,358.32,0.75,2,6,H. Seferovic,V. Kadlec,1
199745,RCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,467,948,628.32,644.32,3.32,10,11,M. Stendera,H. Seferovic,1
1802,CAM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,16520,RW,458,449,409.32,686.32,0.15,6,14,A. Meier,S. Aigner,1
1790,RCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,194,903,458.32,109.32,0.15,9,3,M. Russ,H. Seferovic,1
12956,LW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,401,668,309.32,204.32,0.16,6,2,C. Djakpa,H. Seferovic,1
22870,ST,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,16520,RW,619,625,581.32,624.32,0.35,10,10,M. Fabian,S. Aigner,1
212914,RB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,LW,779,956,594.32,466.32,3.04,11,11,Y. Regasel,H. Seferovic,1
39442,RCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,22870,CAM,332,397,420.32,326.32,1.66,5,6,C. Zambrano,M. Fabian,1
22870,CAM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,LW,432,684,314.32,129.32,0.13,6,2,M. Fabian,H. Seferovic,1
199745,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,22870,CAM,746,869,532.32,401.32,1.34,11,7,M. Stendera,M. Fabian,1
1770,LW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,77888,ST,578,508,566.32,392.32,0.25,10,6,S. Huszti,H. Seferovic,1
