playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,name
16087,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,115078,RW,321,248,126.32,756.32,1,13,H. Nordtveit
4610,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,PREKID IGRE,IZGUBLJEN OD LINIJE,4610,LB,1053,861,752.32,410.32,16,7,O. Wendt
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,16894,LW,1183,1198,140.32,357.32,4,8,J. Korb
16087,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,PREKID IGRE,IZGUBLJEN OD LINIJE,16087,LCB,637,461,720.32,525.32,14,10,H. Nordtveit
4610,LW,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,4610,LW,1089,1213,663.32,546.32,12,12,O. Wendt
11500,LCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,53937,RCF,795,577,673.32,451.32,11,10,Raffael
39479,RCF,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,171186,LB,763,742,739.32,642.32,15,11,L. Stindl
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,102535,CAM,500,311,776.32,523.32,14,9,J. Korb
127794,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN OD LINIJE,0,0,572,51,671.32,402.32,10,5,M. Hinteregger
156709,RW,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,144607,RW,689,951,319.32,324.32,6,7,T. Hazard
102647,LCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,PREKID IGRE,IZGUBLJEN OD LINIJE,102647,LCM,572,631,241.32,348.32,6,6,G. Xhaka
102647,LCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN OD LINIJE,11891,CAM,798,651,251.32,405.32,7,6,G. Xhaka
102647,LCM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN OD LINIJE,127794,LW,1172,1154,195.32,361.32,4,8,G. Xhaka
