id,domaci,gosti,formacija,pogodaka,score,pogodaka_primljeno
6770,Eintracht Frankfurt,FC Ingolstadt 04,4-3-1-2,1,1,1
6730,Eintracht Frankfurt,FC Schalke 04,4-3-1-2,0,1,0
6681,Eintracht Frankfurt,Hamburger SV,4-2-3-1,0,1,0
6609,Eintracht Frankfurt,VfB Stuttgart,4-2-3-1,2,0,4
6553,Eintracht Frankfurt,VfL Wolfsburg,4-4-1-1,3,3,2
6450,Eintracht Frankfurt,SV Werder Bremen,4-4-1-1,2,3,1
6398,Eintracht Frankfurt,SV Darmstadt 98,4-2-3-1,0,0,1
6308,Eintracht Frankfurt,Bayer 04 Leverkusen,4-2-3-1,1,0,3
6756,Hertha BSC,Eintracht Frankfurt,4-2-3-1,0,0,2
6647,1. FC Koln,Eintracht Frankfurt,4-5-1,1,0,3
6573,FC Augsburg,Eintracht Frankfurt,4-2-3-1,0,1,0
6425,Borussia Dortmund,Eintracht Frankfurt,4-5-1,1,0,4
6370,1. FSV Mainz 05,Eintracht Frankfurt,4-2-3-1,1,0,2
6258,TSG 1899 Hoffenheim,Eintracht Frankfurt,4-4-1-1,0,1,0
