,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,404.0,166.0,539.32,437.32
1,292.0,354.0,327.32,423.32
2,445.0,194.0,510.32,457.32
3,532.0,745.0,225.32,203.32
4,415.0,474.0,277.32,518.32
5,343.0,189.0,410.32,482.32
6,772.0,847.0,147.32,59.32
7,691.0,1060.0,156.32,638.32
8,346.0,464.0,248.32,95.32
9,652.0,863.0,229.32,66.32
10,446.0,412.0,203.32,451.32
11,642.0,642.0,150.32,511.32
12,510.0,552.0,526.32,362.32
13,582.0,617.0,336.32,641.32
14,664.0,706.0,189.32,78.32
15,403.0,466.0,332.32,441.32
16,636.0,878.0,291.32,72.32
17,483.0,685.0,179.32,72.32
18,584.0,621.0,255.32,580.32
19,395.0,548.0,315.32,148.32
20,495.0,453.0,320.32,404.32
21,699.0,715.0,286.32,523.32
22,726.0,1082.0,326.32,63.32
23,582.0,391.0,259.32,485.32
24,459.0,518.0,462.32,551.32
25,591.0,564.0,214.32,364.32
26,615.0,812.0,236.32,71.32
27,539.0,543.0,267.32,508.32
28,347.0,543.0,570.32,596.32
29,596.0,782.0,220.32,72.32
30,509.0,516.0,244.32,378.32
31,741.0,769.0,459.32,638.32
32,785.0,826.0,202.32,391.32
33,539.0,619.0,179.32,247.32
34,749.0,724.0,147.32,423.32
35,834.0,861.0,314.32,407.32
36,610.0,624.0,309.32,535.32
37,654.0,727.0,316.32,528.32
38,323.0,432.0,301.32,321.32
39,613.0,698.0,261.32,260.32
40,699.0,826.0,278.32,73.32
41,799.0,968.0,538.32,541.32
42,593.0,1236.0,605.32,717.32
43,616.0,490.0,656.32,318.32
44,733.0,597.0,634.32,535.32
45,786.0,888.0,600.32,749.32
46,367.0,484.0,402.32,171.32
47,346.0,482.0,360.32,339.32
48,236.0,326.0,213.32,159.32
49,523.0,535.0,356.32,605.32
50,472.0,487.0,385.32,602.32
51,567.0,598.0,643.32,726.32
52,594.0,774.0,88.32,65.32
53,312.0,358.0,410.32,645.32
54,362.0,491.0,484.32,597.32
55,662.0,519.0,621.32,358.32
56,469.0,812.0,775.32,646.32
57,553.0,607.0,418.32,717.32
58,570.0,471.0,546.32,346.32
59,474.0,553.0,353.32,634.32
60,535.0,607.0,533.32,409.32
61,470.0,352.0,420.32,516.32
62,432.0,568.0,450.32,286.32
63,301.0,354.0,581.32,662.32
64,569.0,611.0,361.32,493.32
65,787.0,776.0,402.32,443.32
66,749.0,749.0,288.32,599.32
67,367.0,141.0,393.32,426.32
68,735.0,799.0,175.32,338.32
69,768.0,810.0,120.32,132.32
70,720.0,574.0,85.32,215.32
71,612.0,455.0,126.32,164.32
72,588.0,882.0,85.32,127.32
73,377.0,424.0,456.32,703.32
74,708.0,904.0,628.32,759.32
75,663.0,588.0,250.32,177.32
76,653.0,796.0,586.32,671.32
77,380.0,354.0,474.32,187.32
78,1209.0,985.0,586.32,566.32
79,367.0,578.0,791.32,751.32
80,357.0,434.0,604.32,682.32
81,371.0,334.0,701.32,578.32
82,358.0,488.0,724.32,571.32
83,861.0,1027.0,666.32,714.32
84,822.0,1218.0,793.32,685.32
85,572.0,649.0,725.32,619.32
86,553.0,956.0,700.32,659.32
87,469.0,795.0,750.32,724.32
88,1092.0,1192.0,801.32,724.32
89,492.0,417.0,588.32,485.32
90,260.0,185.0,662.32,519.32
91,296.0,560.0,733.32,746.32
92,182.0,391.0,794.32,754.32
93,531.0,589.0,558.32,504.32
94,426.0,180.0,801.32,503.32
95,870.0,811.0,726.32,554.32
96,450.0,408.0,597.32,537.32
97,360.0,614.0,681.32,763.32
98,399.0,549.0,665.32,564.32
99,871.0,820.0,647.32,470.32
100,810.0,945.0,772.32,643.32
101,665.0,554.0,683.32,587.32
102,641.0,605.0,619.32,296.32
103,341.0,290.0,547.32,272.32
104,538.0,466.0,734.32,580.32
105,731.0,963.0,554.32,761.32
106,580.0,369.0,605.32,437.32
107,629.0,558.0,691.32,319.32
108,331.0,379.0,623.32,599.32
109,330.0,436.0,647.32,644.32
110,762.0,983.0,660.32,787.32
111,475.0,467.0,325.32,206.32
112,641.0,840.0,646.32,770.32
113,280.0,345.0,581.32,361.32
114,454.0,158.0,412.32,395.32
115,329.0,406.0,625.32,527.32
116,848.0,856.0,601.32,432.32
117,851.0,907.0,588.32,569.32
118,366.0,426.0,526.32,433.32
119,630.0,873.0,661.32,768.32
120,561.0,312.0,748.32,557.32
121,355.0,476.0,136.32,94.32
122,624.0,602.0,691.32,608.32
123,365.0,397.0,202.32,88.32
124,403.0,451.0,400.32,664.32
125,456.0,494.0,480.32,272.32
126,570.0,661.0,554.32,768.32
127,806.0,594.0,804.32,658.32
128,236.0,360.0,298.32,246.32
129,609.0,941.0,694.32,571.32
130,786.0,724.0,656.32,471.32
131,862.0,908.0,581.32,348.32
132,800.0,976.0,536.32,513.32
133,639.0,635.0,530.32,303.32
134,530.0,560.0,538.32,274.32
135,405.0,208.0,564.32,519.32
136,385.0,267.0,590.32,444.32
137,430.0,206.0,114.32,304.32
138,292.0,476.0,95.32,80.32
139,611.0,792.0,513.32,533.32
140,321.0,377.0,544.32,225.32
141,544.0,572.0,487.32,596.32
142,582.0,445.0,674.32,428.32
143,585.0,865.0,640.32,764.32
144,480.0,577.0,493.32,670.32
145,407.0,559.0,630.32,731.32
146,417.0,302.0,691.32,580.32
147,420.0,565.0,443.32,315.32
148,699.0,804.0,465.32,96.32
149,433.0,493.0,376.32,634.32
150,324.0,320.0,523.32,414.32
151,639.0,916.0,628.32,537.32
152,346.0,233.0,586.32,465.32
153,567.0,750.0,605.32,577.32
154,461.0,544.0,511.32,440.32
155,345.0,199.0,539.32,380.32
156,385.0,516.0,618.32,733.32
157,428.0,531.0,612.32,518.32
158,413.0,250.0,618.32,466.32
159,309.0,413.0,717.32,765.32
160,388.0,331.0,655.32,460.32
161,381.0,258.0,610.32,515.32
162,340.0,423.0,554.32,683.32
163,359.0,411.0,514.32,176.32
164,522.0,625.0,606.32,566.32
165,619.0,625.0,440.32,395.32
166,312.0,356.0,665.32,328.32
167,163.0,127.0,675.32,692.32
168,339.0,240.0,640.32,487.32
169,401.0,530.0,337.32,384.32
170,371.0,174.0,403.32,384.32
171,364.0,474.0,488.32,426.32
172,390.0,271.0,555.32,469.32
173,826.0,919.0,616.32,768.32
174,619.0,721.0,635.32,757.32
175,454.0,377.0,617.32,461.32
176,426.0,504.0,707.32,734.32
177,446.0,511.0,293.32,268.32
178,222.0,96.0,739.32,538.32
179,369.0,439.0,554.32,411.32
180,337.0,331.0,574.32,489.32
181,590.0,604.0,594.32,544.32
182,689.0,746.0,488.32,718.32
183,472.0,328.0,585.32,405.32
184,340.0,427.0,577.32,620.32
185,555.0,570.0,575.32,681.32
186,478.0,524.0,522.32,688.32
187,181.0,119.0,679.32,496.32
188,536.0,672.0,295.32,263.32
189,482.0,554.0,361.32,348.32
190,364.0,458.0,577.32,747.32
191,418.0,455.0,475.32,203.32
192,144.0,213.0,565.32,631.32
193,468.0,397.0,664.32,316.32
194,350.0,572.0,562.32,632.32
195,448.0,502.0,295.32,92.32
196,265.0,197.0,687.32,492.32
197,136.0,248.0,711.32,765.32
198,202.0,283.0,399.32,318.32
199,230.0,358.0,469.32,663.32
200,177.0,373.0,470.32,456.32
201,164.0,313.0,534.32,568.32
202,362.0,479.0,437.32,753.32
203,277.0,389.0,531.32,306.32
204,196.0,310.0,591.32,633.32
205,224.0,291.0,483.32,642.32
206,206.0,355.0,253.32,370.32
207,105.0,156.0,373.32,182.32
208,197.0,343.0,499.32,548.32
209,386.0,562.0,489.32,581.32
210,373.0,450.0,520.32,433.32
211,215.0,356.0,514.32,184.32
212,232.0,350.0,280.32,485.32
213,319.0,498.0,484.32,284.32
214,257.0,369.0,441.32,185.32
215,230.0,351.0,372.32,101.32
216,214.0,263.0,300.32,105.32
217,315.0,405.0,546.32,200.32
218,315.0,353.0,359.32,507.32
219,111.0,182.0,411.32,162.32
220,129.0,633.0,403.32,113.32
221,237.0,320.0,394.32,523.32
222,124.0,305.0,407.32,156.32
223,350.0,457.0,240.32,190.32
224,305.0,409.0,472.32,655.32
225,275.0,350.0,480.32,583.32
226,354.0,468.0,208.32,123.32
227,276.0,339.0,409.32,390.32
228,215.0,286.0,477.32,715.32
229,158.0,253.0,421.32,183.32
230,200.0,357.0,349.32,355.32
231,234.0,366.0,580.32,648.32
232,267.0,358.0,477.32,594.32
233,283.0,444.0,503.32,472.32
234,121.0,248.0,415.32,230.32
235,177.0,281.0,357.32,653.32
236,269.0,360.0,493.32,110.32
237,162.0,772.0,342.32,346.32
238,267.0,364.0,468.32,467.32
239,123.0,356.0,430.32,393.32
240,241.0,739.0,549.32,769.32
241,263.0,361.0,330.32,597.32
242,128.0,280.0,466.32,726.32
243,191.0,437.0,90.32,240.32
244,342.0,360.0,383.32,181.32
245,169.0,212.0,431.32,238.32
246,137.0,233.0,458.32,700.32
247,505.0,538.0,591.32,491.32
248,263.0,420.0,420.32,405.32
249,90.0,208.0,459.32,573.32
250,108.0,299.0,381.32,291.32
251,427.0,472.0,314.32,506.32
252,120.0,358.0,507.32,363.32
253,121.0,180.0,486.32,676.32
254,116.0,769.0,361.32,177.32
255,254.0,386.0,548.32,361.32
256,287.0,376.0,382.32,139.32
257,233.0,716.0,493.32,598.32
