,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,348.0,275.0,683.32,566.32
1,544.0,238.0,749.32,670.32
2,363.0,434.0,659.32,620.32
3,433.0,689.0,658.32,749.32
4,494.0,347.0,748.32,691.32
5,441.0,193.0,790.32,608.32
6,326.0,458.0,607.32,526.32
7,417.0,629.0,750.32,612.32
8,423.0,592.0,671.32,619.32
9,217.0,376.0,753.32,674.32
10,109.0,456.0,761.32,691.32
11,630.0,424.0,724.32,638.32
12,503.0,507.0,717.32,684.32
13,546.0,512.0,758.32,551.32
14,659.0,816.0,794.32,685.32
15,1098.0,1053.0,796.32,665.32
16,553.0,404.0,800.32,631.32
17,474.0,577.0,676.32,768.32
18,992.0,1113.0,798.32,771.32
19,975.0,983.0,758.32,670.32
20,180.0,130.0,480.32,414.32
21,441.0,519.0,355.32,617.32
22,529.0,560.0,409.32,237.32
23,486.0,561.0,430.32,224.32
24,504.0,939.0,410.32,76.32
25,475.0,550.0,378.32,638.32
26,382.0,533.0,308.32,467.32
27,651.0,776.0,390.32,671.32
28,676.0,783.0,622.32,600.32
29,918.0,962.0,371.32,591.32
30,865.0,979.0,611.32,553.32
31,699.0,888.0,510.32,424.32
32,483.0,435.0,725.32,546.32
33,883.0,840.0,581.32,498.32
34,797.0,874.0,604.32,206.32
35,745.0,808.0,404.32,523.32
36,615.0,664.0,594.32,710.32
37,789.0,867.0,477.32,361.32
38,686.0,575.0,350.32,483.32
39,616.0,753.0,539.32,540.32
40,530.0,600.0,331.32,622.32
41,452.0,467.0,432.32,184.32
42,757.0,719.0,585.32,651.32
43,314.0,449.0,663.32,651.32
44,591.0,1250.0,636.32,671.32
45,497.0,483.0,569.32,493.32
46,561.0,892.0,602.32,774.32
47,387.0,445.0,317.32,138.32
48,520.0,623.0,339.32,372.32
49,567.0,572.0,416.32,155.32
50,717.0,548.0,533.32,365.32
51,614.0,884.0,685.32,529.32
52,154.0,313.0,320.32,227.32
53,584.0,731.0,363.32,92.32
54,531.0,537.0,286.32,575.32
55,267.0,109.0,90.32,307.32
56,413.0,480.0,357.32,613.32
57,475.0,561.0,235.32,275.32
58,701.0,927.0,534.32,452.32
59,365.0,466.0,290.32,84.32
60,107.0,209.0,450.32,641.32
61,586.0,800.0,292.32,225.32
62,505.0,556.0,303.32,590.32
63,603.0,616.0,344.32,560.32
64,603.0,724.0,412.32,641.32
65,897.0,837.0,312.32,406.32
66,493.0,313.0,317.32,409.32
67,335.0,453.0,289.32,328.32
68,315.0,430.0,359.32,666.32
69,365.0,170.0,42.32,195.32
70,352.0,590.0,60.32,54.32
71,167.0,123.0,351.32,419.32
72,317.0,469.0,350.32,457.32
73,449.0,872.0,302.32,691.32
74,269.0,330.0,386.32,639.32
75,279.0,297.0,308.32,532.32
76,190.0,248.0,421.32,435.32
77,293.0,432.0,78.32,85.32
78,457.0,572.0,162.32,195.32
79,512.0,711.0,164.32,66.32
80,617.0,856.0,43.32,79.32
81,274.0,362.0,112.32,191.32
82,283.0,171.0,187.32,366.32
83,429.0,204.0,204.32,386.32
84,315.0,201.0,172.32,374.32
85,471.0,280.0,173.32,348.32
86,980.0,1058.0,260.32,315.32
87,1048.0,1183.0,385.32,443.32
88,821.0,815.0,260.32,362.32
89,590.0,737.0,80.32,68.32
90,317.0,881.0,144.32,258.32
91,147.0,107.0,172.32,404.32
92,387.0,1129.0,179.32,123.32
93,818.0,776.0,640.32,763.32
94,987.0,1117.0,637.32,501.32
95,1075.0,915.0,536.32,743.32
96,1129.0,1195.0,808.32,609.32
97,1178.0,1211.0,745.32,568.32
98,875.0,781.0,573.32,494.32
99,880.0,700.0,513.32,745.32
100,779.0,601.0,564.32,91.32
101,864.0,631.0,484.32,758.32
102,964.0,952.0,713.32,449.32
103,1170.0,871.0,665.32,422.32
104,990.0,911.0,526.32,758.32
105,840.0,921.0,584.32,337.32
106,987.0,865.0,693.32,758.32
107,1016.0,1150.0,645.32,509.32
108,1051.0,1106.0,519.32,335.32
109,974.0,860.0,677.32,771.32
110,915.0,788.0,480.32,473.32
111,700.0,791.0,663.32,413.32
112,808.0,551.0,618.32,551.32
113,979.0,1164.0,558.32,436.32
114,708.0,583.0,648.32,604.32
115,1205.0,1246.0,707.32,747.32
116,963.0,838.0,636.32,573.32
117,884.0,803.0,521.32,744.32
118,1006.0,1105.0,537.32,398.32
119,690.0,654.0,671.32,769.32
120,964.0,950.0,543.32,262.32
121,1215.0,1008.0,702.32,762.32
122,913.0,1110.0,706.32,407.32
123,954.0,1205.0,808.32,626.32
124,971.0,971.0,401.32,628.32
125,981.0,1163.0,725.32,507.32
126,1055.0,1128.0,564.32,464.32
127,919.0,891.0,636.32,499.32
128,1124.0,1140.0,696.32,541.32
129,1007.0,1162.0,643.32,490.32
130,1078.0,1177.0,651.32,470.32
131,1153.0,984.0,738.32,728.32
132,1073.0,862.0,710.32,637.32
133,840.0,644.0,637.32,769.32
134,759.0,702.0,671.32,597.32
135,818.0,1049.0,493.32,419.32
136,1129.0,1258.0,452.32,462.32
137,914.0,890.0,417.32,579.32
138,1121.0,990.0,487.32,430.32
139,1240.0,1249.0,673.32,475.32
140,838.0,507.0,803.32,708.32
141,756.0,1044.0,616.32,430.32
142,1019.0,835.0,591.32,553.32
143,950.0,136.0,525.32,632.32
144,954.0,967.0,418.32,313.32
145,771.0,680.0,597.32,744.32
146,977.0,879.0,601.32,552.32
147,947.0,930.0,417.32,368.32
148,1019.0,905.0,534.32,403.32
149,900.0,899.0,658.32,453.32
150,879.0,823.0,610.32,306.32
151,846.0,491.0,588.32,108.32
152,781.0,800.0,198.32,153.32
153,930.0,911.0,619.32,518.32
154,582.0,728.0,252.32,81.32
155,706.0,539.0,296.32,365.32
156,532.0,548.0,460.32,309.32
157,507.0,647.0,475.32,660.32
158,410.0,480.0,552.32,462.32
159,515.0,624.0,363.32,131.32
160,655.0,760.0,365.32,246.32
161,609.0,590.0,536.32,444.32
162,741.0,862.0,278.32,250.32
163,707.0,617.0,277.32,469.32
164,385.0,459.0,306.32,408.32
165,514.0,564.0,370.32,186.32
166,590.0,715.0,277.32,164.32
167,902.0,947.0,430.32,534.32
168,1148.0,1016.0,680.32,739.32
169,530.0,534.0,458.32,387.32
170,760.0,868.0,417.32,583.32
171,596.0,535.0,444.32,275.32
172,757.0,845.0,417.32,534.32
173,922.0,876.0,237.32,88.32
174,583.0,665.0,431.32,217.32
175,560.0,445.0,496.32,538.32
176,508.0,523.0,396.32,648.32
177,421.0,464.0,535.32,324.32
178,600.0,707.0,300.32,125.32
179,417.0,454.0,366.32,534.32
180,476.0,622.0,650.32,637.32
181,480.0,351.0,595.32,583.32
182,554.0,727.0,710.32,668.32
183,456.0,464.0,686.32,758.32
184,562.0,455.0,733.32,388.32
185,934.0,980.0,651.32,727.32
186,567.0,269.0,426.32,436.32
187,591.0,472.0,252.32,214.32
188,634.0,663.0,577.32,714.32
189,644.0,688.0,642.32,747.32
190,644.0,735.0,668.32,760.32
191,547.0,598.0,750.32,723.32
192,481.0,579.0,523.32,621.32
193,507.0,564.0,593.32,506.32
194,716.0,827.0,367.32,237.32
195,819.0,877.0,360.32,687.32
196,738.0,696.0,617.32,363.32
197,716.0,519.0,397.32,595.32
198,616.0,699.0,430.32,361.32
199,631.0,777.0,371.32,266.32
200,485.0,460.0,607.32,539.32
201,649.0,749.0,186.32,142.32
202,803.0,876.0,142.32,102.32
203,617.0,797.0,337.32,427.32
204,588.0,450.0,456.32,540.32
205,503.0,687.0,645.32,758.32
206,529.0,389.0,645.32,563.32
207,478.0,937.0,722.32,598.32
208,450.0,571.0,626.32,622.32
209,503.0,473.0,617.32,463.32
