,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,786.0,625.0,369.32,312.32
1,513.0,422.0,64.32,169.32
2,464.0,350.0,170.32,79.32
3,287.0,352.0,97.32,111.32
4,854.0,1128.0,89.32,240.32
5,656.0,457.0,94.32,216.32
6,547.0,465.0,47.32,180.32
7,829.0,666.0,183.32,112.32
8,606.0,781.0,89.32,422.32
9,558.0,521.0,73.32,176.32
10,505.0,447.0,282.32,280.32
11,358.0,273.0,417.32,639.32
12,718.0,614.0,93.32,191.32
13,629.0,487.0,233.32,390.32
14,568.0,465.0,174.32,74.32
15,580.0,651.0,162.32,203.32
16,939.0,892.0,43.32,150.32
17,748.0,498.0,176.32,276.32
18,572.0,667.0,49.32,98.32
19,533.0,314.0,67.32,292.32
20,183.0,228.0,660.32,600.32
21,165.0,108.0,705.32,359.32
22,230.0,433.0,797.32,662.32
23,916.0,851.0,516.32,697.32
24,836.0,898.0,609.32,307.32
25,772.0,767.0,681.32,732.32
26,756.0,729.0,703.32,613.32
27,884.0,841.0,454.32,642.32
28,630.0,459.0,312.32,360.32
29,664.0,503.0,234.32,369.32
30,625.0,500.0,399.32,300.32
31,589.0,386.0,328.32,104.32
32,596.0,511.0,406.32,187.32
33,531.0,421.0,224.32,73.32
34,579.0,882.0,201.32,322.32
35,589.0,717.0,243.32,222.32
36,576.0,492.0,189.32,77.32
37,714.0,598.0,170.32,174.32
38,563.0,309.0,387.32,98.32
39,628.0,614.0,171.32,88.32
40,882.0,722.0,280.32,310.32
41,811.0,603.0,131.32,66.32
42,766.0,599.0,394.32,93.32
43,581.0,476.0,291.32,87.32
44,833.0,629.0,147.32,72.32
45,795.0,904.0,85.32,284.32
46,757.0,755.0,335.32,148.32
47,513.0,391.0,243.32,343.32
48,502.0,316.0,339.32,109.32
49,369.0,311.0,269.32,332.32
50,799.0,1027.0,611.32,519.32
51,883.0,822.0,425.32,283.32
52,908.0,658.0,486.32,703.32
53,338.0,471.0,783.32,699.32
54,898.0,648.0,569.32,757.32
55,443.0,378.0,547.32,762.32
56,817.0,940.0,767.32,483.32
57,1008.0,1126.0,625.32,484.32
58,1018.0,1111.0,636.32,386.32
59,1126.0,1025.0,408.32,298.32
60,1137.0,1058.0,563.32,617.32
61,685.0,715.0,624.32,319.32
62,941.0,851.0,424.32,741.32
63,598.0,489.0,580.32,483.32
64,538.0,477.0,496.32,301.32
65,816.0,631.0,365.32,557.32
66,571.0,495.0,678.32,587.32
67,551.0,508.0,610.32,694.32
68,1011.0,1164.0,492.32,391.32
69,1211.0,1242.0,660.32,493.32
70,730.0,302.0,745.32,713.32
71,722.0,1069.0,771.32,592.32
72,1222.0,1197.0,515.32,664.32
73,889.0,455.0,644.32,607.32
74,510.0,214.0,683.32,502.32
75,1082.0,1115.0,498.32,644.32
76,870.0,623.0,451.32,513.32
77,600.0,247.0,646.32,214.32
78,1124.0,989.0,718.32,757.32
79,1066.0,920.0,394.32,104.32
80,1099.0,1223.0,709.32,454.32
81,930.0,1168.0,561.32,392.32
82,159.0,254.0,204.32,233.32
83,513.0,576.0,157.32,275.32
84,508.0,629.0,223.32,174.32
85,402.0,194.0,161.32,367.32
86,408.0,212.0,171.32,329.32
87,533.0,296.0,189.32,418.32
88,197.0,486.0,169.32,275.32
89,665.0,775.0,203.32,119.32
90,434.0,490.0,310.32,408.32
91,456.0,599.0,247.32,236.32
92,391.0,700.0,245.32,79.32
93,552.0,494.0,258.32,450.32
94,451.0,451.0,456.32,557.32
95,119.0,310.0,204.32,90.32
96,450.0,515.0,149.32,190.32
97,402.0,393.0,374.32,547.32
98,400.0,505.0,218.32,232.32
99,324.0,352.0,149.32,306.32
100,558.0,848.0,330.32,87.32
101,732.0,689.0,223.32,403.32
102,511.0,411.0,192.32,344.32
103,505.0,590.0,206.32,197.32
104,429.0,328.0,175.32,389.32
105,404.0,465.0,155.32,79.32
106,710.0,360.0,418.32,427.32
107,383.0,527.0,333.32,256.32
108,404.0,506.0,273.32,400.32
109,539.0,697.0,249.32,74.32
110,519.0,474.0,234.32,460.32
111,454.0,443.0,334.32,433.32
112,464.0,605.0,117.32,105.32
113,707.0,1042.0,293.32,729.32
114,268.0,469.0,227.32,90.32
115,548.0,510.0,272.32,576.32
116,242.0,490.0,374.32,478.32
117,853.0,949.0,378.32,259.32
118,872.0,870.0,409.32,334.32
119,706.0,615.0,264.32,207.32
120,776.0,778.0,319.32,578.32
121,907.0,877.0,432.32,669.32
122,694.0,826.0,552.32,292.32
123,467.0,523.0,308.32,261.32
124,1120.0,1136.0,479.32,473.32
125,887.0,849.0,348.32,297.32
126,500.0,436.0,402.32,328.32
127,594.0,546.0,393.32,476.32
128,931.0,771.0,321.32,302.32
129,816.0,737.0,583.32,574.32
130,601.0,515.0,755.32,741.32
131,765.0,765.0,458.32,653.32
132,820.0,993.0,565.32,550.32
133,892.0,831.0,492.32,514.32
134,826.0,775.0,495.32,665.32
135,891.0,640.0,187.32,193.32
136,821.0,83.0,539.32,707.32
137,765.0,698.0,145.32,175.32
138,512.0,451.0,319.32,121.32
139,519.0,444.0,281.32,553.32
140,785.0,845.0,324.32,337.32
141,1026.0,949.0,456.32,448.32
142,540.0,411.0,596.32,599.32
143,851.0,660.0,418.32,306.32
144,538.0,536.0,554.32,395.32
145,872.0,665.0,485.32,329.32
146,463.0,480.0,144.32,378.32
147,507.0,394.0,263.32,719.32
148,928.0,899.0,449.32,224.32
149,630.0,616.0,555.32,237.32
150,736.0,758.0,139.32,148.32
151,729.0,1025.0,177.32,321.32
152,781.0,728.0,580.32,624.32
153,931.0,786.0,575.32,765.32
154,820.0,680.0,631.32,689.32
155,936.0,757.0,180.32,66.32
156,1078.0,876.0,482.32,369.32
157,740.0,779.0,543.32,699.32
158,780.0,616.0,293.32,183.32
159,809.0,307.0,118.32,126.32
160,913.0,1034.0,681.32,687.32
161,825.0,792.0,347.32,182.32
162,968.0,1110.0,155.32,210.32
163,980.0,1037.0,657.32,714.32
164,872.0,976.0,595.32,673.32
165,782.0,672.0,768.32,664.32
166,736.0,587.0,241.32,206.32
167,552.0,325.0,223.32,711.32
168,565.0,682.0,231.32,434.32
169,725.0,728.0,300.32,494.32
170,604.0,418.0,277.32,289.32
171,808.0,820.0,123.32,116.32
172,818.0,757.0,557.32,472.32
173,894.0,825.0,428.32,268.32
174,888.0,881.0,574.32,754.32
175,947.0,226.0,594.32,182.32
176,1125.0,1098.0,489.32,577.32
177,639.0,718.0,421.32,421.32
178,539.0,435.0,485.32,556.32
179,835.0,1130.0,306.32,413.32
180,599.0,529.0,189.32,197.32
181,911.0,973.0,470.32,378.32
182,1138.0,953.0,508.32,584.32
183,767.0,358.0,576.32,776.32
184,900.0,807.0,303.32,351.32
185,821.0,618.0,513.32,533.32
186,729.0,610.0,202.32,250.32
187,623.0,576.0,565.32,734.32
188,740.0,654.0,655.32,450.32
189,537.0,436.0,91.32,64.32
190,753.0,995.0,520.32,478.32
191,724.0,627.0,465.32,533.32
192,713.0,894.0,490.32,703.32
193,756.0,849.0,651.32,411.32
194,1026.0,1194.0,522.32,423.32
195,871.0,924.0,451.32,363.32
196,1002.0,877.0,453.32,512.32
197,1033.0,857.0,535.32,580.32
198,433.0,406.0,211.32,474.32
199,545.0,755.0,228.32,221.32
200,660.0,862.0,196.32,134.32
201,417.0,568.0,314.32,114.32
202,503.0,675.0,208.32,422.32
203,186.0,242.0,389.32,411.32
204,197.0,212.0,402.32,471.32
205,447.0,532.0,560.32,451.32
206,408.0,612.0,620.32,568.32
207,282.0,397.0,631.32,475.32
208,477.0,614.0,606.32,579.32
209,180.0,600.0,491.32,671.32
210,123.0,360.0,450.32,645.32
211,374.0,283.0,658.32,550.32
212,410.0,588.0,550.32,507.32
213,812.0,718.0,735.32,624.32
214,772.0,648.0,723.32,611.32
215,729.0,373.0,745.32,460.32
216,628.0,875.0,695.32,501.32
217,408.0,530.0,293.32,738.32
218,405.0,623.0,260.32,163.32
219,645.0,656.0,254.32,106.32
220,458.0,498.0,452.32,282.32
221,988.0,1181.0,583.32,402.32
222,651.0,416.0,691.32,778.32
223,714.0,478.0,693.32,583.32
224,530.0,326.0,795.32,760.32
225,781.0,645.0,647.32,750.32
226,1179.0,1274.0,509.32,696.32
227,519.0,249.0,578.32,93.32
228,786.0,878.0,687.32,501.32
229,833.0,943.0,676.32,432.32
230,945.0,817.0,589.32,584.32
231,1213.0,1078.0,320.32,478.32
232,961.0,876.0,585.32,631.32
233,928.0,403.0,719.32,386.32
234,709.0,962.0,635.32,494.32
235,565.0,292.0,268.32,752.32
236,1036.0,1201.0,339.32,505.32
237,437.0,433.0,317.32,522.32
238,439.0,442.0,303.32,577.32
239,444.0,287.0,260.32,368.32
240,406.0,423.0,269.32,590.32
241,471.0,514.0,455.32,660.32
242,611.0,710.0,480.32,294.32
243,289.0,381.0,280.32,122.32
244,285.0,157.0,245.32,427.32
