,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,1038.0,901.0,733.32,631.32
1,1007.0,896.0,619.32,777.32
2,1163.0,1179.0,473.32,179.32
3,886.0,789.0,521.32,297.32
4,614.0,586.0,459.32,261.32
5,1111.0,981.0,423.32,353.32
6,887.0,710.0,363.32,111.32
7,801.0,948.0,568.32,420.32
8,843.0,729.0,484.32,267.32
9,566.0,502.0,528.32,719.32
10,557.0,312.0,543.32,97.32
11,817.0,812.0,483.32,766.32
12,857.0,1114.0,200.32,286.32
13,758.0,749.0,513.32,312.32
14,629.0,467.0,573.32,598.32
15,608.0,617.0,785.32,784.32
16,607.0,628.0,511.32,328.32
17,706.0,653.0,266.32,129.32
18,719.0,680.0,451.32,721.32
19,511.0,382.0,582.32,421.32
20,1130.0,904.0,475.32,500.32
21,647.0,551.0,569.32,753.32
22,998.0,861.0,446.32,467.32
23,811.0,647.0,454.32,188.32
24,753.0,716.0,430.32,280.32
25,1000.0,842.0,632.32,317.32
26,1103.0,1247.0,211.32,355.32
27,787.0,696.0,378.32,742.32
28,899.0,855.0,552.32,213.32
29,715.0,520.0,615.32,775.32
30,806.0,1034.0,670.32,529.32
31,869.0,793.0,555.32,287.32
32,845.0,754.0,437.32,735.32
33,334.0,326.0,562.32,478.32
34,963.0,924.0,465.32,293.32
35,577.0,433.0,593.32,767.32
36,501.0,369.0,656.32,774.32
37,600.0,476.0,533.32,346.32
38,893.0,1059.0,717.32,524.32
39,603.0,713.0,644.32,417.32
40,1226.0,1083.0,675.32,769.32
41,809.0,715.0,305.32,248.32
42,810.0,866.0,341.32,116.32
43,791.0,906.0,140.32,229.32
44,941.0,743.0,191.32,71.32
45,892.0,499.0,688.32,765.32
46,489.0,586.0,697.32,520.32
47,883.0,720.0,311.32,74.32
48,945.0,823.0,216.32,77.32
49,1000.0,832.0,390.32,552.32
50,970.0,895.0,366.32,187.32
51,619.0,565.0,377.32,187.32
52,516.0,497.0,175.32,151.32
53,594.0,542.0,149.32,79.32
54,794.0,998.0,533.32,558.32
55,968.0,889.0,375.32,209.32
56,551.0,470.0,321.32,421.32
57,891.0,796.0,649.32,582.32
58,892.0,777.0,558.32,617.32
59,574.0,499.0,204.32,81.32
60,687.0,599.0,108.32,69.32
61,801.0,915.0,153.32,262.32
62,781.0,570.0,174.32,274.32
63,839.0,775.0,262.32,305.32
64,709.0,656.0,413.32,733.32
65,1084.0,997.0,385.32,344.32
66,711.0,540.0,198.32,220.32
67,693.0,627.0,108.32,75.32
68,992.0,1195.0,232.32,317.32
69,593.0,575.0,153.32,79.32
70,809.0,900.0,81.32,154.32
71,600.0,786.0,707.32,715.32
72,807.0,916.0,256.32,598.32
73,481.0,412.0,179.32,181.32
74,451.0,493.0,231.32,518.32
75,993.0,901.0,307.32,716.32
76,540.0,279.0,310.32,746.32
77,703.0,815.0,349.32,631.32
78,964.0,372.0,364.32,383.32
79,1036.0,1202.0,143.32,353.32
80,820.0,735.0,440.32,268.32
81,746.0,259.0,372.32,436.32
82,783.0,643.0,67.32,104.32
83,801.0,661.0,57.32,116.32
84,911.0,1136.0,345.32,379.32
85,1026.0,881.0,229.32,379.32
86,924.0,1186.0,360.32,421.32
87,863.0,827.0,361.32,615.32
88,995.0,845.0,320.32,83.32
89,1044.0,897.0,387.32,119.32
90,994.0,905.0,209.32,341.32
91,629.0,615.0,362.32,323.32
92,895.0,792.0,479.32,506.32
93,1004.0,1149.0,225.32,430.32
94,895.0,607.0,204.32,325.32
95,937.0,717.0,184.32,165.32
96,1036.0,1116.0,267.32,349.32
97,1141.0,1249.0,173.32,445.32
98,993.0,892.0,170.32,88.32
99,681.0,381.0,220.32,724.32
100,1047.0,1023.0,153.32,504.32
101,681.0,347.0,258.32,755.32
102,613.0,525.0,593.32,730.32
103,918.0,1041.0,344.32,406.32
104,851.0,643.0,502.32,140.32
105,972.0,1201.0,71.32,185.32
106,625.0,526.0,157.32,188.32
107,1015.0,1080.0,514.32,417.32
108,199.0,278.0,675.32,739.32
109,1167.0,1033.0,96.32,190.32
110,1075.0,1028.0,164.32,507.32
111,512.0,346.0,235.32,74.32
112,810.0,703.0,408.32,521.32
113,870.0,876.0,335.32,564.32
114,474.0,419.0,200.32,255.32
115,509.0,456.0,194.32,303.32
116,883.0,916.0,303.32,470.32
117,823.0,635.0,385.32,107.32
118,709.0,803.0,145.32,287.32
119,713.0,513.0,122.32,183.32
120,855.0,1024.0,417.32,405.32
121,880.0,832.0,257.32,527.32
122,725.0,703.0,329.32,521.32
123,801.0,605.0,462.32,123.32
124,560.0,599.0,338.32,514.32
125,662.0,774.0,155.32,409.32
126,736.0,590.0,300.32,301.32
127,1147.0,1268.0,471.32,523.32
128,1035.0,935.0,298.32,356.32
129,1034.0,861.0,333.32,232.32
130,1263.0,1278.0,143.32,157.32
131,571.0,472.0,277.32,71.32
132,595.0,499.0,219.32,232.32
133,734.0,706.0,116.32,85.32
134,785.0,838.0,151.32,396.32
135,738.0,809.0,121.32,357.32
136,779.0,793.0,280.32,590.32
137,741.0,539.0,204.32,67.32
138,771.0,847.0,172.32,392.32
139,844.0,860.0,371.32,322.32
140,987.0,901.0,312.32,458.32
141,559.0,442.0,152.32,84.32
142,891.0,867.0,325.32,554.32
143,619.0,501.0,439.32,656.32
144,414.0,89.0,348.32,755.32
145,819.0,731.0,389.32,717.32
146,689.0,637.0,395.32,117.32
147,1252.0,1145.0,594.32,566.32
148,884.0,775.0,391.32,482.32
149,950.0,1185.0,245.32,440.32
150,803.0,838.0,399.32,623.32
151,759.0,737.0,313.32,97.32
152,1033.0,1204.0,68.32,297.32
153,1109.0,1057.0,255.32,92.32
154,911.0,1080.0,219.32,383.32
155,972.0,1008.0,215.32,379.32
156,922.0,905.0,292.32,648.32
157,984.0,857.0,363.32,190.32
158,930.0,849.0,123.32,255.32
159,1036.0,1145.0,262.32,355.32
160,453.0,415.0,280.32,372.32
161,930.0,978.0,217.32,483.32
162,988.0,1193.0,119.32,369.32
163,1145.0,940.0,95.32,214.32
164,1170.0,1196.0,510.32,588.32
165,948.0,981.0,116.32,451.32
166,982.0,964.0,215.32,537.32
167,902.0,816.0,174.32,88.32
168,898.0,822.0,128.32,77.32
169,926.0,899.0,199.32,594.32
170,862.0,760.0,115.32,118.32
171,850.0,834.0,132.32,591.32
172,916.0,827.0,419.32,170.32
173,572.0,502.0,272.32,233.32
174,1136.0,1072.0,167.32,292.32
175,820.0,736.0,357.32,286.32
176,1051.0,865.0,140.32,247.32
177,1072.0,933.0,229.32,142.32
178,548.0,469.0,299.32,374.32
179,545.0,443.0,144.32,97.32
180,1056.0,989.0,151.32,286.32
181,1026.0,990.0,150.32,555.32
182,556.0,508.0,195.32,207.32
183,530.0,773.0,229.32,366.32
184,1119.0,788.0,88.32,97.32
185,1008.0,1125.0,174.32,321.32
186,874.0,750.0,478.32,380.32
187,1007.0,1187.0,96.32,310.32
188,956.0,965.0,305.32,410.32
189,684.0,625.0,300.32,699.32
190,977.0,847.0,286.32,79.32
191,820.0,785.0,181.32,215.32
192,841.0,776.0,449.32,611.32
193,836.0,799.0,250.32,498.32
194,593.0,523.0,352.32,471.32
195,767.0,562.0,248.32,243.32
196,790.0,725.0,171.32,67.32
197,785.0,803.0,344.32,133.32
198,402.0,335.0,361.32,168.32
199,726.0,632.0,355.32,366.32
200,592.0,494.0,309.32,286.32
201,1013.0,976.0,96.32,317.32
202,869.0,859.0,386.32,496.32
203,427.0,328.0,301.32,153.32
204,728.0,817.0,383.32,152.32
205,732.0,640.0,307.32,387.32
206,776.0,673.0,407.32,672.32
207,539.0,363.0,495.32,715.32
208,699.0,654.0,309.32,390.32
209,607.0,565.0,293.32,216.32
210,742.0,657.0,450.32,503.32
211,741.0,732.0,577.32,705.32
212,603.0,561.0,461.32,687.32
213,985.0,1087.0,197.32,407.32
214,514.0,472.0,178.32,183.32
215,531.0,504.0,165.32,312.32
216,742.0,799.0,591.32,733.32
217,642.0,738.0,571.32,519.32
218,976.0,857.0,310.32,169.32
219,1059.0,1018.0,243.32,517.32
220,343.0,517.0,127.32,225.32
221,282.0,241.0,216.32,299.32
222,1242.0,1157.0,508.32,666.32
223,1214.0,1098.0,412.32,565.32
224,1032.0,891.0,254.32,448.32
225,895.0,841.0,620.32,426.32
226,1118.0,937.0,404.32,646.32
227,989.0,919.0,471.32,472.32
228,1009.0,769.0,381.32,101.32
229,1122.0,884.0,274.32,71.32
230,925.0,779.0,434.32,333.32
231,1124.0,1063.0,386.32,206.32
232,1230.0,1015.0,354.32,386.32
233,1063.0,907.0,549.32,528.32
234,1231.0,1150.0,385.32,677.32
235,1126.0,1064.0,378.32,633.32
236,1002.0,926.0,506.32,653.32
237,1158.0,986.0,350.32,313.32
238,981.0,836.0,468.32,146.32
239,1113.0,1058.0,490.32,750.32
240,1180.0,1092.0,193.32,589.32
241,1090.0,963.0,340.32,209.32
242,1028.0,966.0,495.32,695.32
243,1081.0,993.0,541.32,670.32
244,1171.0,982.0,326.32,347.32
245,1198.0,1086.0,314.32,281.32
246,1099.0,1078.0,417.32,477.32
247,1086.0,1006.0,392.32,629.32
248,1113.0,986.0,417.32,199.32
249,1024.0,987.0,449.32,172.32
250,1105.0,1022.0,230.32,90.32
251,1196.0,1145.0,370.32,145.32
252,1180.0,1057.0,321.32,671.32
253,1161.0,1009.0,355.32,115.32
254,1220.0,1024.0,445.32,614.32
255,1217.0,1138.0,378.32,171.32
256,1249.0,1223.0,482.32,707.32
