,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,603.0,222.0,32.32,136.32
1,569.0,616.0,26.32,122.32
2,649.0,870.0,32.32,519.32
3,602.0,515.0,76.32,193.32
4,978.0,830.0,36.32,80.32
5,936.0,809.0,270.32,315.32
6,559.0,637.0,156.32,286.32
7,610.0,820.0,103.32,237.32
8,1010.0,1140.0,212.32,343.32
9,721.0,840.0,122.32,238.32
10,662.0,703.0,114.32,227.32
11,782.0,546.0,41.32,97.32
12,212.0,118.0,156.32,447.32
13,1023.0,1120.0,253.32,439.32
14,641.0,490.0,118.32,73.32
15,382.0,284.0,89.32,141.32
16,531.0,492.0,96.32,217.32
17,622.0,467.0,723.32,559.32
18,567.0,754.0,798.32,712.32
19,512.0,468.0,758.32,705.32
20,381.0,402.0,755.32,570.32
21,510.0,498.0,733.32,567.32
22,674.0,749.0,758.32,583.32
23,203.0,413.0,647.32,661.32
24,762.0,727.0,745.32,614.32
25,564.0,400.0,748.32,565.32
26,666.0,496.0,803.32,711.32
27,646.0,715.0,739.32,597.32
28,282.0,142.0,701.32,583.32
29,171.0,122.0,520.32,469.32
30,854.0,949.0,761.32,666.32
31,657.0,886.0,798.32,733.32
32,362.0,213.0,656.32,558.32
33,1017.0,858.0,765.32,709.32
34,762.0,935.0,798.32,658.32
35,894.0,1000.0,757.32,682.32
36,621.0,663.0,671.32,648.32
37,614.0,538.0,60.32,61.32
38,881.0,984.0,280.32,334.32
39,703.0,742.0,97.32,262.32
40,812.0,784.0,95.32,221.32
41,858.0,776.0,141.32,134.32
42,825.0,865.0,194.32,290.32
43,422.0,711.0,38.32,123.32
44,811.0,933.0,107.32,298.32
45,704.0,558.0,60.32,60.32
46,725.0,699.0,70.32,190.32
47,220.0,158.0,42.32,82.32
48,978.0,1165.0,166.32,251.32
49,882.0,974.0,117.32,224.32
50,1109.0,1184.0,117.32,205.32
51,828.0,629.0,42.32,95.32
52,187.0,117.0,38.32,97.32
53,470.0,371.0,28.32,132.32
54,759.0,725.0,106.32,148.32
55,436.0,400.0,46.32,120.32
56,459.0,385.0,46.32,169.32
57,856.0,1168.0,133.32,201.32
58,184.0,133.0,47.32,121.32
59,800.0,971.0,93.32,248.32
60,616.0,518.0,45.32,100.32
61,576.0,351.0,62.32,220.32
62,1094.0,1190.0,120.32,289.32
63,1251.0,1221.0,164.32,136.32
64,939.0,1153.0,45.32,305.32
65,517.0,391.0,49.32,88.32
66,972.0,1162.0,215.32,331.32
67,953.0,1115.0,73.32,272.32
68,989.0,1198.0,134.32,251.32
69,733.0,819.0,100.32,233.32
70,440.0,352.0,209.32,85.32
71,437.0,324.0,115.32,228.32
72,984.0,1069.0,93.32,234.32
73,1221.0,1208.0,251.32,168.32
74,909.0,700.0,74.32,88.32
75,534.0,394.0,49.32,79.32
76,966.0,518.0,309.32,319.32
77,508.0,606.0,112.32,178.32
78,476.0,420.0,199.32,249.32
79,869.0,849.0,482.32,366.32
80,621.0,782.0,588.32,598.32
81,688.0,569.0,563.32,729.32
82,687.0,601.0,645.32,753.32
83,1285.0,1231.0,53.32,343.32
84,861.0,693.0,566.32,642.32
85,526.0,629.0,261.32,480.32
86,569.0,461.0,317.32,281.32
87,462.0,668.0,350.32,503.32
88,1288.0,1227.0,786.32,474.32
89,736.0,1073.0,589.32,64.32
90,637.0,795.0,613.32,635.32
91,943.0,1112.0,628.32,353.32
92,352.0,456.0,699.32,755.32
93,624.0,622.0,465.32,401.32
94,634.0,641.0,477.32,326.32
95,639.0,891.0,634.32,767.32
96,846.0,1005.0,517.32,306.32
97,652.0,657.0,614.32,687.32
98,858.0,989.0,494.32,694.32
99,811.0,779.0,707.32,744.32
100,1064.0,1155.0,157.32,109.32
101,865.0,728.0,302.32,171.32
102,741.0,594.0,613.32,682.32
103,924.0,950.0,199.32,199.32
104,495.0,464.0,387.32,428.32
105,571.0,657.0,197.32,155.32
106,589.0,532.0,206.32,96.32
107,320.0,289.0,241.32,76.32
108,59.0,150.0,59.32,381.32
109,498.0,538.0,321.32,214.32
110,585.0,569.0,98.32,217.32
111,502.0,466.0,351.32,321.32
112,183.0,120.0,763.32,383.32
