,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,799.0,871.0,206.32,73.32
1,616.0,563.0,143.32,91.32
2,436.0,479.0,438.32,566.32
3,895.0,940.0,577.32,492.32
4,831.0,937.0,758.32,527.32
5,563.0,527.0,191.32,343.32
6,774.0,783.0,586.32,516.32
7,774.0,711.0,602.32,580.32
8,739.0,697.0,602.32,765.32
9,702.0,756.0,328.32,101.32
10,1077.0,1088.0,298.32,448.32
11,713.0,557.0,198.32,277.32
12,956.0,1030.0,196.32,136.32
13,693.0,776.0,572.32,667.32
14,575.0,566.0,282.32,191.32
15,388.0,410.0,621.32,509.32
16,239.0,211.0,257.32,180.32
17,819.0,989.0,259.32,286.32
18,785.0,536.0,511.32,567.32
19,498.0,347.0,388.32,141.32
20,1041.0,1079.0,337.32,349.32
21,930.0,940.0,525.32,612.32
22,669.0,872.0,415.32,397.32
23,938.0,916.0,683.32,537.32
24,97.0,263.0,702.32,739.32
25,757.0,824.0,524.32,77.32
26,491.0,438.0,247.32,351.32
27,567.0,433.0,593.32,477.32
28,859.0,862.0,417.32,357.32
29,453.0,497.0,529.32,409.32
30,864.0,906.0,368.32,419.32
31,511.0,611.0,179.32,157.32
32,398.0,802.0,641.32,622.32
33,825.0,943.0,469.32,459.32
34,325.0,213.0,550.32,742.32
35,511.0,452.0,389.32,767.32
36,448.0,394.0,595.32,611.32
37,536.0,424.0,304.32,731.32
38,462.0,566.0,701.32,611.32
39,765.0,732.0,662.32,532.32
40,793.0,809.0,673.32,303.32
41,665.0,565.0,499.32,598.32
42,636.0,643.0,593.32,684.32
43,414.0,539.0,502.32,284.32
44,586.0,688.0,563.32,585.32
45,443.0,370.0,481.32,479.32
46,1076.0,1011.0,548.32,508.32
47,550.0,128.0,163.32,550.32
48,590.0,549.0,408.32,694.32
49,387.0,376.0,613.32,554.32
50,218.0,86.0,760.32,643.32
51,420.0,453.0,685.32,576.32
52,714.0,753.0,645.32,593.32
53,705.0,832.0,577.32,699.32
54,716.0,538.0,595.32,771.32
55,568.0,655.0,618.32,574.32
56,640.0,881.0,683.32,559.32
57,609.0,758.0,215.32,255.32
58,562.0,292.0,125.32,74.32
59,581.0,542.0,224.32,85.32
60,957.0,1049.0,692.32,764.32
61,248.0,451.0,782.32,680.32
62,91.0,141.0,746.32,454.32
63,990.0,915.0,733.32,755.32
64,326.0,447.0,669.32,690.32
65,1008.0,931.0,579.32,528.32
66,1116.0,1063.0,532.32,534.32
67,1020.0,990.0,735.32,589.32
68,757.0,935.0,610.32,681.32
69,463.0,477.0,713.32,762.32
70,59.0,116.0,54.32,293.32
71,324.0,383.0,622.32,522.32
72,1244.0,913.0,615.32,646.32
73,944.0,761.0,628.32,593.32
74,470.0,262.0,820.32,721.32
75,449.0,111.0,808.32,697.32
76,429.0,264.0,590.32,193.32
77,946.0,853.0,688.32,556.32
78,1203.0,1189.0,494.32,658.32
79,1243.0,1271.0,611.32,739.32
80,671.0,671.0,811.32,666.32
81,844.0,718.0,713.32,661.32
82,860.0,857.0,692.32,609.32
