,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,577.0,668.0,206.32,162.32
1,989.0,953.0,259.32,432.32
2,591.0,852.0,704.32,767.32
3,1098.0,1125.0,396.32,447.32
4,978.0,931.0,503.32,278.32
5,470.0,392.0,631.32,558.32
6,484.0,499.0,281.32,349.32
7,945.0,1037.0,264.32,88.32
8,700.0,550.0,570.32,718.32
9,476.0,541.0,529.32,443.32
10,624.0,684.0,340.32,442.32
11,486.0,339.0,739.32,602.32
12,502.0,499.0,744.32,582.32
13,405.0,395.0,455.32,620.32
14,400.0,413.0,508.32,708.32
15,646.0,696.0,432.32,296.32
16,849.0,1134.0,598.32,766.32
17,835.0,924.0,436.32,702.32
18,673.0,413.0,422.32,269.32
19,713.0,606.0,346.32,384.32
20,766.0,911.0,200.32,68.32
21,707.0,549.0,388.32,338.32
22,389.0,494.0,366.32,372.32
23,674.0,677.0,419.32,411.32
24,458.0,542.0,759.32,731.32
25,471.0,362.0,72.32,154.32
26,1031.0,1146.0,363.32,314.32
27,723.0,758.0,218.32,311.32
28,512.0,531.0,266.32,374.32
29,675.0,681.0,421.32,409.32
30,385.0,423.0,283.32,106.32
31,692.0,447.0,443.32,253.32
32,940.0,859.0,476.32,470.32
33,805.0,617.0,643.32,715.32
34,837.0,721.0,529.32,599.32
35,943.0,926.0,390.32,286.32
36,796.0,706.0,278.32,489.32
37,758.0,798.0,376.32,344.32
38,893.0,849.0,430.32,427.32
39,671.0,687.0,419.32,434.32
40,763.0,773.0,228.32,192.32
41,954.0,1220.0,441.32,771.32
42,913.0,1034.0,517.32,594.32
43,994.0,1097.0,454.32,609.32
44,993.0,1003.0,379.32,424.32
45,932.0,956.0,262.32,77.32
46,909.0,888.0,688.32,539.32
47,581.0,447.0,540.32,522.32
48,827.0,895.0,305.32,445.32
49,604.0,634.0,178.32,246.32
50,1067.0,928.0,128.32,199.32
51,545.0,774.0,488.32,217.32
52,726.0,778.0,514.32,754.32
53,894.0,1104.0,304.32,610.32
54,708.0,637.0,117.32,293.32
55,718.0,740.0,293.32,188.32
56,1062.0,1187.0,608.32,326.32
57,1262.0,1213.0,87.32,503.32
58,806.0,849.0,607.32,673.32
59,912.0,1144.0,553.32,766.32
60,1163.0,1162.0,775.32,697.32
61,811.0,973.0,227.32,82.32
62,988.0,891.0,177.32,303.32
63,805.0,862.0,347.32,419.32
64,831.0,769.0,81.32,146.32
65,541.0,380.0,194.32,196.32
66,1188.0,1191.0,704.32,775.32
67,803.0,893.0,266.32,415.32
68,234.0,316.0,332.32,318.32
69,846.0,908.0,72.32,147.32
70,593.0,479.0,179.32,383.32
71,492.0,593.0,180.32,79.32
72,459.0,419.0,174.32,417.32
73,587.0,739.0,142.32,71.32
74,547.0,404.0,233.32,322.32
75,395.0,313.0,263.32,250.32
76,359.0,420.0,230.32,206.32
77,355.0,465.0,346.32,442.32
78,144.0,212.0,395.32,546.32
79,201.0,572.0,221.32,208.32
80,594.0,737.0,76.32,70.32
81,430.0,562.0,55.32,135.32
82,744.0,826.0,35.32,120.32
83,524.0,557.0,139.32,237.32
84,849.0,1081.0,27.32,130.32
85,956.0,990.0,89.32,261.32
86,1050.0,1181.0,216.32,466.32
87,1148.0,1216.0,191.32,423.32
88,935.0,1059.0,263.32,109.32
89,509.0,213.0,69.32,332.32
90,606.0,647.0,131.32,290.32
91,480.0,541.0,271.32,200.32
92,489.0,272.0,128.32,408.32
93,747.0,811.0,157.32,80.32
94,766.0,837.0,171.32,316.32
95,482.0,542.0,116.32,184.32
96,480.0,445.0,75.32,269.32
