,actionPosX1,actionPosX2,actionPosY1,actionPosY2
0,722.0,843.0,728.32,753.32
1,813.0,1020.0,666.32,611.32
2,686.0,452.0,793.32,484.32
3,1043.0,1167.0,753.32,472.32
4,919.0,1114.0,759.32,759.32
5,498.0,574.0,608.32,496.32
6,304.0,318.0,686.32,719.32
7,812.0,702.0,821.32,741.32
8,546.0,627.0,673.32,728.32
9,500.0,371.0,700.32,595.32
10,721.0,549.0,748.32,587.32
11,536.0,573.0,718.32,570.32
12,702.0,703.0,678.32,604.32
13,929.0,759.0,683.32,552.32
14,597.0,476.0,130.32,69.32
15,660.0,965.0,65.32,273.32
16,574.0,455.0,35.32,165.32
17,719.0,471.0,574.32,626.32
18,925.0,1143.0,468.32,454.32
19,670.0,693.0,341.32,152.32
20,960.0,859.0,40.32,88.32
21,759.0,588.0,52.32,80.32
22,570.0,440.0,34.32,180.32
23,308.0,232.0,85.32,243.32
24,876.0,788.0,158.32,217.32
25,742.0,560.0,69.32,156.32
26,478.0,462.0,88.32,158.32
27,507.0,587.0,116.32,257.32
28,599.0,695.0,100.32,169.32
29,865.0,822.0,85.32,88.32
30,797.0,1115.0,264.32,398.32
31,453.0,246.0,65.32,55.32
32,1129.0,1005.0,719.32,768.32
33,1018.0,907.0,551.32,193.32
34,886.0,914.0,234.32,511.32
35,579.0,905.0,180.32,393.32
36,570.0,644.0,95.32,202.32
37,959.0,914.0,402.32,578.32
38,451.0,542.0,37.32,105.32
39,713.0,760.0,197.32,396.32
40,443.0,546.0,98.32,117.32
41,253.0,459.0,597.32,759.32
42,547.0,669.0,665.32,633.32
43,151.0,182.0,475.32,445.32
44,904.0,1118.0,809.32,717.32
45,779.0,956.0,594.32,466.32
46,339.0,315.0,643.32,512.32
47,607.0,663.0,644.32,543.32
48,629.0,780.0,446.32,199.32
49,729.0,938.0,809.32,724.32
50,200.0,441.0,800.32,774.32
51,463.0,779.0,803.32,737.32
52,329.0,595.0,637.32,580.32
53,804.0,1082.0,628.32,390.32
54,589.0,485.0,693.32,503.32
55,659.0,486.0,781.32,608.32
56,385.0,190.0,663.32,563.32
57,905.0,889.0,812.32,702.32
58,552.0,386.0,796.32,584.32
59,799.0,924.0,763.32,649.32
60,807.0,823.0,763.32,661.32
61,552.0,738.0,779.32,619.32
62,1221.0,1167.0,788.32,698.32
63,877.0,1018.0,793.32,750.32
64,193.0,70.0,676.32,481.32
65,907.0,1212.0,747.32,596.32
66,321.0,226.0,662.32,549.32
67,609.0,399.0,722.32,608.32
