,name,ID,score,w,l,d,hw,hl,hd,aw,al,ad,totalMatches,goalsScored,goalsRecived
0,Eintracht Frankfurt,10347,0,2.0,7.0,5.0,2.0,3.0,3.0,0.0,4.0,2.0,14.0,12.0,23.0
1,VfL Wolfsburg,10653,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0
2,Hertha BSC,10437,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
3,Borussia Mgladbach,10307,0,7.0,6.0,3.0,7.0,1.0,1.0,0.0,5.0,2.0,16.0,33.0,30.0
4,FC Augsburg,10269,0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
5,Hamburger SV,10419,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
6,1. FC Koln,10476,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0
7,1. FSV Mainz 05,10388,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0
8,Borussia Dortmund,10303,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0
9,Bayer 04 Leverkusen,10281,0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0
10,Manchester City,9259,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0
11,TSG 1899 Hoffenheim,10442,0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0
12,FC Ingolstadt 04,10453,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
13,VfB Stuttgart,10646,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,6.0
14,FC Schalke 04,10576,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
15,SV Werder Bremen,10677,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0
16,SV Darmstadt 98,10329,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0
17,FC Bayern Munchen,10285,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
18,Sevilla CF,16175,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0
19,Hannover 96,10423,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
