ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6305163,6308,0.0,0.75,247,0,0,102895,TOCNO DODAVANJE,0,0,1802,ST,CAM,1,676,668,421.32,415.32,0.82,6,6.0,0.75,0.0
6305166,6308,0.75,2.09,247,0,0,1802,TOCNO DODAVANJE,0,0,199745,CAM,LCM,1,668,822,413.32,507.32,14.76,6,7.0,1.34,0.0
6305169,6308,2.09,4.15,247,0,0,199745,TOCNO DODAVANJE,0,0,39442,LCM,RCB,2,846,1005,517.32,306.32,22.14,7,3.0,2.06,0.69
6305173,6308,4.15,6.86,247,0,0,39442,TOCNO DODAVANJE,0,0,5335,RCB,RB,3,1002,956,301.32,109.32,16.86,3,3.0,2.71,1.07
6305206,6308,19.13,20.35,247,0,0,39442,TOCNO DODAVANJE,0,0,1802,RCB,CAM,1,1018,795,140.32,222.32,19.24,3,3.0,1.22,0.11
6305208,6308,19.13,20.35,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,RCB,CAM,1,1018,795,140.32,222.32,19.24,3,3.0,1.22,0.11
6305210,6308,20.35,21.1,247,0,0,1802,TOCNO DODAVANJE,0,0,40700,CAM,RCM,1,799,888,228.32,196.32,7.65,3,3.0,0.75,0.0
6305214,6308,21.1,21.66,247,0,0,40700,TOCNO DODAVANJE,0,0,199745,RCM,LCM,1,892,921,194.32,280.32,7.73,3,3.0,0.56,0.0
6305217,6308,21.66,23.61,15,248,248,199745,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,44428,LCM,LW,3,891,870,234.32,177.32,5.16,3,3.0,1.95,1.65
6305322,6308,63.08,65.51,15,248,248,40700,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCM,RCM,1,1176,1064,345.32,431.32,11.63,4,8.0,2.43,0.0
6305323,6308,63.08,65.51,211,248,248,40700,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,RCM,RCM,1,1176,1064,345.32,431.32,11.63,4,8.0,2.43,0.0
6305325,6308,63.08,65.51,17,301,248,40700,OBRANA OD PROTIVNIKA,NETOCNO DODAVANJE,OTKLONJENA OPASNOST,130205,RCM,RCM,1,1176,1064,345.32,431.32,11.63,4,8.0,2.43,0.0
6305388,6308,91.76,98.8,247,0,0,5335,TOCNO DODAVANJE,0,0,1802,RB,CAM,1,639,526,51.32,142.32,11.97,2,2.0,7.04,5.43
6305390,6308,91.76,98.8,211,247,247,5335,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,RB,CAM,1,639,526,51.32,142.32,11.97,2,2.0,7.04,5.43
6305391,6308,91.76,98.8,15,247,247,5335,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,RB,CAM,1,639,526,51.32,142.32,11.97,2,2.0,7.04,5.43
6305400,6308,98.8,101.47,15,248,248,1802,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,171186,CAM,LB,1,527,255,149.32,153.32,21.85,2,1.0,2.67,0.0
6305438,6308,112.65,115.1,15,248,248,21022,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,130205,LCB,RCM,1,809,569,516.32,545.32,19.44,7,6.0,2.45,0.0
6305466,6308,117.86,118.52,247,0,0,199745,TOCNO DODAVANJE,0,0,196633,LCM,LB,1,652,657,614.32,687.32,6.27,6,6.0,0.66,0.0
6305481,6308,118.52,124.46,15,248,248,196633,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201853,LB,RCB,6,556,443,783.32,682.32,12.54,10,6.0,5.94,3.96
6305519,6308,141.77,142.71,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,1,915,932,377.32,443.32,5.81,7,7.0,0.94,0.0
6305520,6308,141.77,142.71,211,247,247,39442,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,RCB,LCB,1,915,932,377.32,443.32,5.81,7,7.0,0.94,0.0
6305521,6308,141.77,142.71,15,247,247,39442,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,21022,RCB,LCB,1,915,932,377.32,443.32,5.81,7,7.0,0.94,0.0
6305526,6308,142.71,145.31,247,0,0,21022,TOCNO DODAVANJE,0,0,199745,LCB,LCM,3,940,859,467.32,434.32,7.09,7,7.0,2.6,0.44
6305532,6308,145.31,149.7,247,0,0,199745,TOCNO DODAVANJE,0,0,196633,LCM,LB,4,858,989,494.32,694.32,20.11,7,7.0,4.39,2.34
6305534,6308,149.7,151.11,247,0,0,196633,TOCNO DODAVANJE,0,0,21022,LB,LCB,1,967,1015,688.32,613.32,7.49,7,7.0,1.41,0.0
6305540,6308,151.11,153.44,15,248,248,21022,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201853,LCB,RCB,1,1025,526,595.32,614.32,40.13,7,6.0,2.33,2.0
6305560,6308,154.59,157.85,15,232,232,196633,LOPTA PO ZRAKU,OUT,OUT,0,LB,0,1,751,605,645.32,796.32,17.46,7,10.0,3.26,0.0
6305604,6308,167.46,170.19,247,0,0,199745,TOCNO DODAVANJE,0,0,196661,LCM,LW,2,811,779,707.32,744.32,4.08,11,11.0,2.73,1.66
6305612,6308,170.19,171.43,211,248,248,196661,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,201853,LW,RCB,1,825,690,747.32,666.32,12.87,11,6.0,1.24,0.0
6305653,6308,200.68,202.49,247,0,0,39442,TOCNO DODAVANJE,0,0,8570,RCB,GK,3,914,1100,463.32,434.32,15.15,7,8.0,1.81,0.25
6305661,6308,202.49,206.15,247,0,0,8570,TOCNO DODAVANJE,0,0,16520,GK,RW,2,1099,692,407.32,131.32,40.36,8,2.0,3.66,0.77
6305662,6308,202.49,206.15,15,247,247,8570,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,GK,RW,2,1099,692,407.32,131.32,40.36,8,2.0,3.66,0.77
