ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6493930,6450,39.39,45.74,247,0,0,5335,TOCNO DODAVANJE,0,0,196661,LCM,RB,6,584,545,300.32,82.32,18.94,2,2.0,6.35,4.84
6493936,6450,45.74,47.7,247,0,0,196661,TOCNO DODAVANJE,0,0,16520,RB,RW,2,484,418,68.32,62.32,5.32,2,2.0,1.96,1.34
6493941,6450,47.7,48.0,247,0,0,16520,TOCNO DODAVANJE,0,0,77888,RW,ST,1,412,418,62.32,132.32,6.01,2,2.0,0.3,0.13
6493953,6450,48.04,50.32,247,0,0,77888,TOCNO DODAVANJE,0,0,5335,ST,LCM,2,493,491,118.32,172.32,4.63,2,2.0,2.28,1.83
6494030,6450,88.24,89.88,247,0,0,199745,TOCNO DODAVANJE,0,0,77888,RCM,ST,1,498,183,143.32,412.32,34.23,2,5.0,1.64,0.14
6494033,6450,88.24,89.88,261,98,247,199745,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,KOMBINACIJA,77888,RCM,ST,1,498,183,143.32,412.32,34.23,2,5.0,1.64,0.14
6494260,6450,112.19,123.68,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,175390,GK,LB,8,1096,508,411.32,255.32,49.1,8,2.0,11.49,8.61
6494277,6450,126.19,127.63,247,0,0,199745,TOCNO DODAVANJE,0,0,16520,RCM,RW,1,709,588,257.32,182.32,11.65,3,2.0,1.44,0.14
6494284,6450,127.63,128.51,247,0,0,16520,TOCNO DODAVANJE,0,0,77888,RW,ST,1,580,536,178.32,236.32,6.1,2,2.0,0.88,0.14
6494292,6450,128.51,129.64,247,0,0,77888,TOCNO DODAVANJE,0,0,1802,ST,CAM,1,536,497,238.32,286.32,5.17,2,2.0,1.13,0.16
6494294,6450,128.51,129.64,15,247,247,77888,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,1802,ST,CAM,1,536,497,238.32,286.32,5.17,2,2.0,1.13,0.16
6494302,6450,129.64,132.68,247,0,0,1802,TOCNO DODAVANJE,0,0,16520,CAM,RW,1,500,341,289.32,103.32,20.43,2,1.0,3.04,0.15
6494326,6450,132.68,135.54,4,60,248,16520,CENTARSUT,NETOCNO DODAVANJE,DOBAR,2022,RW,RCM,2,227,224,76.32,345.32,23.05,1,1.0,2.86,2.86
6494327,6450,132.68,135.54,15,248,248,16520,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,2022,RW,RCM,2,226,225,73.32,346.32,23.4,1,1.0,2.86,1.45
6494358,6450,138.37,140.98,247,0,0,196661,TOCNO DODAVANJE,0,0,199745,RB,RCM,1,486,381,121.32,69.32,9.54,2,2.0,2.61,0.17
6494390,6450,153.41,154.27,247,0,0,196661,TOCNO DODAVANJE,0,0,77888,RB,ST,1,346,298,38.32,85.32,5.57,1,1.0,0.86,0.16
6494391,6450,153.41,154.27,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,RB,ST,1,346,298,38.32,85.32,5.57,1,1.0,0.86,0.16
6494394,6450,154.27,155.17,247,0,0,77888,TOCNO DODAVANJE,0,0,196661,ST,RB,1,295,297,89.32,64.32,2.14,1,1.0,0.9,0.14
6494442,6450,162.33,163.18,247,0,0,196661,TOCNO DODAVANJE,0,0,16520,RB,RW,1,160,102,43.32,114.32,7.66,1,1.0,0.85,0.16
6494443,6450,162.33,163.18,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,RB,RW,1,160,102,43.32,114.32,7.66,1,1.0,0.85,0.16
6494446,6450,163.18,164.52,247,0,0,16520,TOCNO DODAVANJE,0,0,196661,RW,RB,1,99,91,114.32,57.32,4.92,1,1.0,1.34,0.31
6494448,6450,163.18,164.52,15,247,247,16520,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,196661,RW,RB,1,99,91,114.32,57.32,4.92,1,1.0,1.34,0.31
6494461,6450,164.4,166.23,211,248,248,196661,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,210557,RB,LW,1,88,65,54.32,86.32,3.3,1,1.0,1.83,0.2
6494479,6450,166.93,169.94,247,0,0,16520,TOCNO DODAVANJE,0,0,199745,RW,RCM,4,222,232,61.32,164.32,8.86,1,1.0,3.01,2.28
6494492,6450,169.73,171.73,247,0,0,199745,TOCNO DODAVANJE,0,0,77888,RCM,ST,2,243,284,167.32,180.32,3.47,1,1.0,2.0,1.01
6494500,6450,171.55,172.35,211,248,248,77888,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,38494,ST,LCM,1,287,272,181.32,213.32,2.99,1,1.0,0.8,0.16
6494560,6450,181.94,185.34,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,4,1104,1031,557.32,493.32,8.03,8,7.0,3.4,2.16
6494570,6450,185.34,188.54,247,0,0,21022,TOCNO DODAVANJE,0,0,1790,LCB,RCB,3,1016,936,456.32,162.32,26.0,7,3.0,3.2,1.82
6494581,6450,188.54,192.41,247,0,0,1790,TOCNO DODAVANJE,0,0,199745,RCB,RCM,5,894,807,163.32,145.32,7.15,3,3.0,3.87,2.8
6494597,6450,192.41,194.49,247,0,0,199745,TOCNO DODAVANJE,0,0,16520,RCM,RW,2,796,664,108.32,117.32,10.63,3,2.0,2.08,1.42
6494656,6450,211.45,214.19,247,0,0,199745,TOCNO DODAVANJE,0,0,196661,RCM,RB,1,555,501,140.32,74.32,7.12,2,2.0,2.74,1.89
6494661,6450,214.19,216.24,247,0,0,196661,TOCNO DODAVANJE,0,0,16520,RB,RW,1,500,604,69.32,94.32,8.62,2,2.0,2.05,0.2
6494663,6450,216.24,217.88,247,0,0,16520,TOCNO DODAVANJE,0,0,1790,RW,RCB,1,606,786,96.32,227.32,18.31,2,3.0,1.64,0.24
6494669,6450,217.88,221.26,247,0,0,1790,TOCNO DODAVANJE,0,0,21022,RCB,LCB,2,759,800,310.32,561.32,21.76,3,7.0,3.38,1.75
6494674,6450,221.26,224.3,247,0,0,21022,TOCNO DODAVANJE,0,0,8570,LCB,GK,2,846,1025,560.32,425.32,18.46,7,7.0,3.04,1.43
6494685,6450,224.3,230.97,15,248,248,8570,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,210557,GK,LW,2,1005,556,416.32,139.32,43.19,7,2.0,6.67,4.05
6494758,6450,241.23,243.06,211,248,248,196661,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,210557,RB,LW,2,732,728,54.32,60.32,0.6,3,3.0,1.83,1.83
6494772,6450,255.05,256.12,211,248,248,196661,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,175390,RB,LB,1,685,550,38.32,76.32,11.32,2,2.0,1.07,0.14
6494788,6450,263.75,263.88,247,0,0,196661,TOCNO DODAVANJE,0,0,1790,RB,RCB,1,604,825,36.32,152.32,20.35,2,3.0,0.13,0.13
6494789,6450,263.75,263.88,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,1790,RB,RCB,1,604,825,36.32,152.32,20.35,2,3.0,0.13,0.13
6494791,6450,263.88,265.96,247,0,0,1790,TOCNO DODAVANJE,0,0,21022,RCB,LCB,2,831,857,156.32,504.32,29.9,3,7.0,2.08,0.16
6494797,6450,265.96,267.22,247,0,0,21022,TOCNO DODAVANJE,0,0,196633,LCB,LB,1,854,810,510.32,739.32,19.94,7,11.0,1.26,0.14
6494871,6450,277.87,281.5,247,0,0,21022,TOCNO DODAVANJE,0,0,16520,LCB,RW,1,833,535,496.32,334.32,27.68,7,2.0,3.63,0.13
6494876,6450,281.5,282.73,247,0,0,16520,TOCNO DODAVANJE,0,0,1802,RW,CAM,1,533,492,333.32,404.32,6.92,2,6.0,1.23,0.14
6494884,6450,282.73,286.9,247,0,0,1802,TOCNO DODAVANJE,0,0,199745,CAM,RCM,1,511,453,398.32,74.32,28.15,6,2.0,4.17,0.14
6494939,6450,290.5,294.13,247,0,0,196661,TOCNO DODAVANJE,0,0,77888,RB,ST,4,406,409,186.32,239.32,4.54,2,2.0,3.63,2.47
6494946,6450,294.13,294.82,247,0,0,77888,TOCNO DODAVANJE,0,0,196661,ST,RB,1,413,339,241.32,236.32,5.96,2,1.0,0.69,0.13
6495032,6450,308.82,309.4,211,232,232,196661,NIJE IZGUBLJENA,OUT,OUT,0,RB,0,1,690,713,74.32,32.32,4.04,2,3.0,0.58,0.26
6495157,6450,331.47,332.79,211,248,248,8570,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,122073,GK,LCF,1,1153,1107,331.32,287.32,5.28,4,4.0,1.32,0.13
6495200,6450,333.4,334.73,13,87,0,1790,KORNER,0,IZGUBLJEN KORNER,0,RCB,0,1,1142,1305,318.32,333.32,13.16,4,4.0,1.33,0.15
6495202,6450,333.4,334.73,211,13,13,1790,NIJE IZGUBLJENA,KORNER,KORNER,0,RCB,0,1,1142,1305,318.32,333.32,13.16,4,4.0,1.33,0.15
6495204,6450,333.4,334.73,17,50,13,1790,OBRANA OD PROTIVNIKA,KORNER,BLOK UDARAC,0,RCB,0,1,1142,1305,318.32,333.32,13.16,4,4.0,1.33,0.15
6495314,6450,397.9,400.81,261,171,248,196633,IZVODENJE SLOBODNOG UDARCA,NETOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,210557,LB,LW,1,718,431,758.32,186.32,54.18,11,2.0,2.91,0.14
6495315,6450,397.9,400.81,15,248,248,196633,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,210557,LB,LW,1,718,431,758.32,186.32,54.18,11,2.0,2.91,0.14
6495324,6450,403.76,405.39,247,0,0,199745,TOCNO DODAVANJE,0,0,196661,RCM,RB,1,583,658,199.32,186.32,6.12,2,2.0,1.63,0.17
6495331,6450,405.39,406.89,247,0,0,196661,TOCNO DODAVANJE,0,0,5335,RB,LCM,2,661,639,185.32,280.32,8.33,2,2.0,1.5,0.9
6495333,6450,406.89,407.99,247,0,0,5335,TOCNO DODAVANJE,0,0,1790,LCM,RCB,1,641,756,282.32,285.32,9.24,2,3.0,1.1,0.14
6495341,6450,407.99,411.03,247,0,0,1790,TOCNO DODAVANJE,0,0,196661,RCB,RB,4,748,748,281.32,206.32,6.42,3,3.0,3.04,2.29
6495346,6450,411.03,414.34,247,0,0,196661,TOCNO DODAVANJE,0,0,199745,RB,RCM,4,730,751,181.32,96.32,7.47,3,3.0,3.31,2.7
6495381,6450,420.84,421.97,247,0,0,196661,TOCNO DODAVANJE,0,0,77888,RB,ST,1,617,541,42.32,146.32,10.8,2,2.0,1.13,0.14
6495382,6450,420.84,421.97,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,77888,RB,ST,1,617,541,42.32,146.32,10.8,2,2.0,1.13,0.14
6495387,6450,421.97,424.74,247,0,0,77888,TOCNO DODAVANJE,0,0,16520,ST,RW,1,537,307,147.32,197.32,18.97,2,1.0,2.77,0.14
6495482,6450,463.86,465.5,15,248,248,199745,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,85380,RCM,GK,1,56,67,784.32,417.32,31.46,9,5.0,1.64,0.14
6495515,6450,482.09,483.03,247,0,0,196661,TOCNO DODAVANJE,0,0,5335,RB,LCM,1,979,921,42.32,102.32,6.94,3,3.0,0.94,0.14
6495516,6450,482.09,483.03,211,247,247,196661,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,5335,RB,LCM,1,979,921,42.32,102.32,6.94,3,3.0,0.94,0.14
6495527,6450,483.03,485.73,15,248,248,5335,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,143213,LCM,LCB,2,889,655,78.32,146.32,19.68,3,2.0,2.7,1.04
6495576,6450,494.72,495.44,247,0,0,196661,TOCNO DODAVANJE,0,0,199745,RB,RCM,1,1123,1096,196.32,199.32,2.18,4,4.0,0.72,0.13
