ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,playerPositionID,targetPositionID,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257080,6258,248.94,249.94,247,0,0,77888,TOCNO DODAVANJE,0,0,1802,ST,CAM,1,away,773,725,483.32,368.32,,10.58,0,0.0,248.94,249.94,FirstHalf,11,9,left,1.0,1.0,11,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257081,6258,248.94,249.94,18,247,154,77888,ODUZETE LOPTE,TOCNO DODAVANJE,PRESJECENA LOPTA,1802,ST,CAM,1,away,773,725,483.32,368.32,,10.58,0,0.0,248.94,249.94,FirstHalf,11,9,left,1.0,1.0,11,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257084,6258,256.47,257.83,247,0,0,199745,TOCNO DODAVANJE,0,0,44079,RCM,LCM,1,away,869,849,482.32,366.32,,10.07,0,0.0,256.47,256.98,FirstHalf,16,15,left,1.36,0.51,11,7,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257085,6258,257.83,260.05,247,0,0,44079,TOCNO DODAVANJE,0,0,21022,LCM,LCB,1,away,838,585,360.32,389.32,,20.48,0,0.0,257.83,258.28,FirstHalf,15,13,left,2.22,0.45,7,6,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257089,6258,268.1,272.4,247,0,0,44079,TOCNO DODAVANJE,0,0,16520,LCM,RW,4,away,757,1192,268.32,644.32,,47.54,0,0.0,268.1,270.85,FirstHalf,15,21,left,4.3,2.75,7,12,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257090,6258,268.1,272.4,19,247,59,44079,OSTALA DODAVANJA,TOCNO DODAVANJE,DIJAGONALNA TOCNA,16520,LCM,RW,4,away,757,1192,268.32,644.32,,47.54,0,0.0,268.1,270.85,FirstHalf,15,21,left,4.3,2.75,7,12,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257091,6258,268.1,272.4,15,247,247,44079,LOPTA PO ZRAKU,TOCNO DODAVANJE,TOCNO DODAVANJE,16520,LCM,RW,4,away,757,1192,268.32,644.32,,47.54,0,0.0,268.1,270.85,FirstHalf,15,21,left,4.3,2.75,7,12,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257095,6258,273.31,274.44,31,0,0,1802,UDARAC U OKVIR,0,0,0,CAM,0,1,away,1087,1275,534.32,426.32,Label106,17.71,0,0.0,273.31,273.82,FirstHalf,9,0,left,1.13,0.51,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257096,6258,273.31,274.44,30,31,56,1802,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,CAM,0,1,away,1087,1275,534.32,426.32,Label106,17.71,0,0.0,273.31,273.82,FirstHalf,9,0,left,1.13,0.51,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
6257097,6258,273.31,274.44,30,31,84,1802,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,CAM,0,1,away,1087,1275,534.32,426.32,Label106,17.71,0,0.0,273.31,273.82,FirstHalf,9,0,left,1.13,0.51,12,8,0,TSG 1899 Hoffenheim,Eintracht Frankfurt,442,4411,2015.11.07 00:00:00,15:30:00,Wirsol Rhein-Neckar-Arena,24,Vedro,Dan,12,30150,10442,10347,20,16,0,1,0,1,0.0
