ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,domaci,gosti,start_sector,name
6257520,KORNER,IZGUBLJEN KORNER,39479,120,446.32,44,206.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6257521,NIJE IZGUBLJENA,KORNER,39479,120,446.32,44,206.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6257631,TOCNO DODAVANJE,0,4610,282,92.32,257,141.32,Borussia Mgladbach,FC Ingolstadt 04,1,O. Wendt
6257675,TOCNO DODAVANJE,0,66692,239,173.32,555,217.32,Borussia Mgladbach,FC Ingolstadt 04,1,A. Dominguez
6258055,TOCNO DODAVANJE,0,66692,330,111.32,416,247.32,Borussia Mgladbach,FC Ingolstadt 04,1,A. Dominguez
6258058,OSTALA DODAVANJA,GLAVOM,66692,330,111.32,416,247.32,Borussia Mgladbach,FC Ingolstadt 04,1,A. Dominguez
6258209,TOCNO DODAVANJE,0,66692,335,350.32,579,340.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6258211,LOPTA PO ZRAKU,TOCNO DODAVANJE,66692,335,350.32,579,340.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6258409,TOCNO DODAVANJE,0,4610,205,169.32,117,219.32,Borussia Mgladbach,FC Ingolstadt 04,1,O. Wendt
6258450,NETOCNO DODAVANJE,0,66692,97,235.32,132,225.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6258923,OUT,IZGUBLJEN OUT,11341,109,339.32,537,28.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6258925,ISPUCAVANJE NETOCNO,OUT,11341,109,339.32,537,28.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6259274,NETOCNO DODAVANJE,0,4610,231,127.32,526,145.32,Borussia Mgladbach,FC Ingolstadt 04,1,O. Wendt
6259275,NIJE IZGUBLJENA,NETOCNO DODAVANJE,4610,231,127.32,526,145.32,Borussia Mgladbach,FC Ingolstadt 04,1,O. Wendt
6259301,TOCNO DODAVANJE,0,66692,171,180.32,304,247.32,Borussia Mgladbach,FC Ingolstadt 04,1,A. Dominguez
6259306,NETOCNO DODAVANJE,0,102647,342,230.32,357,214.32,Borussia Mgladbach,FC Ingolstadt 04,5,G. Xhaka
6259309,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,102647,342,230.32,357,214.32,Borussia Mgladbach,FC Ingolstadt 04,5,G. Xhaka
6259817,TOCNO DODAVANJE,0,66692,218,259.32,311,403.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6259823,TOCNO DODAVANJE,0,205485,290,427.32,280,614.32,Borussia Mgladbach,FC Ingolstadt 04,5,M. Dahoud
6259838,TOCNO DODAVANJE,0,66692,313,292.32,493,78.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6259839,LOPTA PO ZRAKU,TOCNO DODAVANJE,66692,313,292.32,493,78.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6260009,TOCNO DODAVANJE,0,4610,296,277.32,88,417.32,Borussia Mgladbach,FC Ingolstadt 04,5,O. Wendt
6260528,TOCNO DODAVANJE,0,11341,199,410.32,258,667.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6260529,DODAVANJE RUKOM KRATKO,TOCNO DODAVANJE,11341,199,410.32,258,667.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6260531,NIJE IZGUBLJENA,TOCNO DODAVANJE,11341,199,410.32,258,667.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6261048,NETOCNO DODAVANJE,0,11341,166,360.32,676,567.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6261049,LOPTA PO ZRAKU,NETOCNO DODAVANJE,11341,166,360.32,676,567.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6261085,NETOCNO DODAVANJE,0,66692,340,348.32,464,500.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6261086,OSTALA DODAVANJA,GLAVOM,66692,340,348.32,464,500.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6261572,NETOCNO DODAVANJE,0,11341,123,378.32,883,131.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6262024,TOCNO DODAVANJE,0,11341,123,446.32,174,672.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6262070,TOCNO DODAVANJE,0,16894,225,361.32,240,470.32,Borussia Mgladbach,FC Ingolstadt 04,5,F. Johnson
6262595,NETOCNO DODAVANJE,0,11341,111,394.32,794,136.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6263031,OUT,IZGUBLJEN OUT,66692,236,255.32,314,42.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6263033,LOPTA PO ZRAKU,OUT,66692,236,255.32,314,42.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Dominguez
6263067,TOCNO DODAVANJE,0,206309,123,354.32,229,69.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Christensen
6263068,OBRANA OD PROTIVNIKA,OTKLONJENA OPASNOST,206309,123,354.32,229,69.32,Borussia Mgladbach,FC Ingolstadt 04,5,A. Christensen
6263072,TOCNO DODAVANJE,0,16894,232,56.32,198,118.32,Borussia Mgladbach,FC Ingolstadt 04,1,F. Johnson
6263080,TOCNO DODAVANJE,0,4610,189,118.32,335,83.32,Borussia Mgladbach,FC Ingolstadt 04,1,O. Wendt
6263086,TOCNO DODAVANJE,0,39479,339,83.32,241,64.32,Borussia Mgladbach,FC Ingolstadt 04,1,L. Stindl
6263095,OUT,IZGUBLJEN OUT,16894,239,62.32,528,39.32,Borussia Mgladbach,FC Ingolstadt 04,1,F. Johnson
6263413,TOCNO DODAVANJE,0,11341,305,386.32,348,552.32,Borussia Mgladbach,FC Ingolstadt 04,5,Y. Sommer
6265019,NETOCNO DODAVANJE,0,16491,178,243.32,178,248.32,Borussia Mgladbach,FC Ingolstadt 04,5,I. Traore
6265023,DRIBLING,U PROSTORU,16491,178,243.32,178,248.32,Borussia Mgladbach,FC Ingolstadt 04,5,I. Traore
6265073,TOCNO DODAVANJE,0,16491,59,52.32,101,543.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265075,IZVODENJE KORNERA,CENTARSUT,16491,59,52.32,101,543.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265519,NETOCNO DODAVANJE,0,115078,234,172.32,228,214.32,Borussia Mgladbach,FC Ingolstadt 04,1,J. Drmic
6265520,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,234,172.32,228,214.32,Borussia Mgladbach,FC Ingolstadt 04,1,J. Drmic
6265758,GOL OUT,IZGUBLJEN GOL OUT,16491,308,134.32,41,517.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265762,CENTARSUT,DOBAR,16491,308,134.32,40,518.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265764,DRIBLING,U PROSTORU,16491,308,134.32,41,517.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265766,POKUSAJI ASISTENCIJE,CENTARSUT,16491,308,134.32,40,518.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265774,PRILIKA ZA GOL,IZ CENTARSUTA,11500,308,134.32,41,517.32,Borussia Mgladbach,FC Ingolstadt 04,1,Raffael
6265864,TOCNO DODAVANJE,0,16491,308,135.32,276,89.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265865,TOCNO DODAVANJE,0,16087,287,97.32,352,111.32,Borussia Mgladbach,FC Ingolstadt 04,1,H. Nordtveit
6265876,PREKID IGRE,PRIMLJEN PREKRSAJ,16491,337,117.32,303,412.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265878,DRIBLING,U PROSTORU,16491,337,117.32,303,412.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265925,TOCNO DODAVANJE,0,16491,342,135.32,131,465.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265926,IZVODENJE SLOBODNOG UDARCA,KOMBINACIJA,16491,342,135.32,131,465.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6265937,POKUSAJI ASISTENCIJE,CENTARSUT,16491,342,135.32,131,465.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266525,NETOCNO DODAVANJE,0,16491,232,119.32,185,124.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266527,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16491,232,119.32,185,124.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266538,TOCNO DODAVANJE,0,16491,52,51.32,223,206.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266540,IZVODENJE KORNERA,KOMBINACIJA,16491,52,51.32,223,206.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266542,TOCNO DODAVANJE,0,11500,217,195.32,196,117.32,Borussia Mgladbach,FC Ingolstadt 04,1,Raffael
6266546,TOCNO DODAVANJE,0,16491,191,112.32,106,539.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266554,CENTARSUT,DOBAR,16491,200,136.32,103,543.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266670,TOCNO DODAVANJE,0,16491,237,42.32,294,147.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266671,NIJE IZGUBLJENA,TOCNO DODAVANJE,16491,237,42.32,294,147.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266681,TOCNO DODAVANJE,0,39479,333,203.32,434,498.32,Borussia Mgladbach,FC Ingolstadt 04,1,L. Stindl
6266709,NETOCNO DODAVANJE,0,16491,179,162.32,153,386.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6266713,CENTARSUT,DOBAR,16491,177,163.32,153,393.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6267796,NETOCNO DODAVANJE,0,115078,267,432.32,169,421.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6267799,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,267,432.32,169,421.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6268797,TOCNO DODAVANJE,0,115078,307,292.32,346,312.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6268803,NETOCNO DODAVANJE,0,39479,339,378.32,332,368.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6268804,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,39479,339,378.32,332,368.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6269024,NETOCNO DODAVANJE,0,115078,325,322.32,335,342.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6269057,UDARAC U OKVIR,0,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269058,UDARAC,PO ZRAKU,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269059,UDARAC,DESNA NOGA,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269060,PRILIKA ZA GOL,IZ CENTARSUTA,156709,172,392.32,79,411.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269067,TOCNO DODAVANJE,0,156709,60,51.32,81,70.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269068,IZVODENJE KORNERA,KOMBINACIJA,156709,60,51.32,81,70.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269069,TOCNO DODAVANJE,0,39479,130,96.32,192,102.32,Borussia Mgladbach,FC Ingolstadt 04,1,L. Stindl
6269070,TOCNO DODAVANJE,0,156709,222,102.32,407,271.32,Borussia Mgladbach,FC Ingolstadt 04,1,T. Hazard
6269096,UDARAC IZVAN OKVIRA,0,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269097,UDARAC,DESNA NOGA,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269098,UDARAC,LOS,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6269099,PRILIKA ZA GOL,IZ CENTARSUTA,156709,104,350.32,66,360.32,Borussia Mgladbach,FC Ingolstadt 04,5,T. Hazard
6304979,TOCNO DODAVANJE,0,65256,219,186.32,310,465.32,Borussia Mgladbach,Hannover 96,1,T. Jantschke
6305053,TOCNO DODAVANJE,0,206309,252,99.32,380,302.32,Borussia Mgladbach,Hannover 96,1,A. Christensen
6305055,ODUZETE LOPTE,U DRIBLINGU,206309,252,99.32,380,302.32,Borussia Mgladbach,Hannover 96,1,A. Christensen
6306374,TOCNO DODAVANJE,0,11341,267,371.32,284,162.32,Borussia Mgladbach,Hannover 96,5,Y. Sommer
6306650,TOCNO DODAVANJE,0,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306656,NIJE IZGUBLJENA,TOCNO DODAVANJE,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306661,OBRANA OD PROTIVNIKA,OTKLONJENA OPASNOST,205485,183,331.32,235,393.32,Borussia Mgladbach,Hannover 96,5,M. Dahoud
6306666,NETOCNO DODAVANJE,0,16087,231,394.32,486,252.32,Borussia Mgladbach,Hannover 96,5,H. Nordtveit
6306667,SKOK GLAVOM,NETOCNO DODAVANJE,16087,231,394.32,486,252.32,Borussia Mgladbach,Hannover 96,5,H. Nordtveit
