ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,domaci,gosti,start_sector,name
6259309,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,102647,342,230.32,357,214.32,Borussia Mgladbach,FC Ingolstadt 04,5,G. Xhaka
6265520,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,234,172.32,228,214.32,Borussia Mgladbach,FC Ingolstadt 04,1,J. Drmic
6266527,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16491,232,119.32,185,124.32,Borussia Mgladbach,FC Ingolstadt 04,1,I. Traore
6267799,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,267,432.32,169,421.32,Borussia Mgladbach,FC Ingolstadt 04,5,J. Drmic
6268804,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,39479,339,378.32,332,368.32,Borussia Mgladbach,FC Ingolstadt 04,5,L. Stindl
6314915,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,126631,161,289.32,85,345.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6315912,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,39479,199,282.32,112,309.32,Borussia Mgladbach,Hannover 96,5,L. Stindl
6316610,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,126631,220,279.32,195,244.32,Borussia Mgladbach,Hannover 96,5,J. Korb
6346259,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,340,279.32,326,265.32,Borussia Mgladbach,Sevilla CF,5,J. Drmic
6346396,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16894,309,219.32,208,292.32,Borussia Mgladbach,Sevilla CF,1,F. Johnson
6375764,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,115078,212,416.32,183,432.32,TSG 1899 Hoffenheim,Borussia Mgladbach,5,J. Drmic
6375907,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,115078,186,352.32,95,396.32,TSG 1899 Hoffenheim,Borussia Mgladbach,5,J. Drmic
6375947,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,39479,322,227.32,322,228.32,TSG 1899 Hoffenheim,Borussia Mgladbach,5,L. Stindl
6376169,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,137,126.32,130,135.32,TSG 1899 Hoffenheim,Borussia Mgladbach,1,Raffael
6376227,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,284,56.32,269,37.32,TSG 1899 Hoffenheim,Borussia Mgladbach,1,Raffael
6376293,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,39479,230,443.32,232,484.32,TSG 1899 Hoffenheim,Borussia Mgladbach,5,L. Stindl
6376955,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,126631,213,169.32,213,184.32,TSG 1899 Hoffenheim,Borussia Mgladbach,1,J. Korb
6377305,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,115078,134,224.32,131,228.32,TSG 1899 Hoffenheim,Borussia Mgladbach,1,J. Drmic
6379868,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,294,265.32,281,261.32,TSG 1899 Hoffenheim,Borussia Mgladbach,5,Raffael
6410301,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,102647,299,343.32,282,343.32,Borussia Mgladbach,FC Bayern Munchen,5,G. Xhaka
6432853,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,16087,239,91.32,200,28.32,Manchester City,Borussia Mgladbach,1,H. Nordtveit
6457570,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,205485,194,133.32,252,107.32,Bayer 04 Leverkusen,Borussia Mgladbach,1,M. Dahoud
6513051,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,39479,153,160.32,182,117.32,Borussia Mgladbach,SV Darmstadt 98,1,L. Stindl
6513343,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,4610,304,409.32,285,405.32,Borussia Mgladbach,SV Darmstadt 98,5,O. Wendt
6585888,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,16491,163,248.32,130,282.32,Borussia Mgladbach,Borussia Dortmund,5,I. Traore
6587409,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,126631,298,128.32,303,248.32,Borussia Mgladbach,Borussia Dortmund,1,J. Korb
6588559,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,11500,285,287.32,287,300.32,Borussia Mgladbach,Borussia Dortmund,5,Raffael
6589332,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16491,199,303.32,182,304.32,Borussia Mgladbach,Borussia Dortmund,5,I. Traore
6626634,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,11500,244,64.32,273,28.32,1. FSV Mainz 05,Borussia Mgladbach,1,Raffael
6626674,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,11500,314,70.32,263,30.32,1. FSV Mainz 05,Borussia Mgladbach,1,Raffael
6627754,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,284,267.32,277,271.32,1. FSV Mainz 05,Borussia Mgladbach,5,Raffael
6627986,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,16894,159,131.32,169,129.32,1. FSV Mainz 05,Borussia Mgladbach,1,F. Johnson
6628271,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,156709,275,239.32,261,232.32,1. FSV Mainz 05,Borussia Mgladbach,5,T. Hazard
6628737,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,175582,197,286.32,200,293.32,1. FSV Mainz 05,Borussia Mgladbach,5,B. Hrgota
6628835,IZGUBLJENA LOPTA,IZGUBLJENA U PRIMANJU,175582,255,433.32,217,450.32,1. FSV Mainz 05,Borussia Mgladbach,5,B. Hrgota
6726982,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,251,139.32,258,157.32,Hamburger SV,Borussia Mgladbach,1,Raffael
6729023,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,16894,183,167.32,179,172.32,Hamburger SV,Borussia Mgladbach,1,F. Johnson
6729124,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,175582,219,232.32,218,232.32,Hamburger SV,Borussia Mgladbach,5,B. Hrgota
6729439,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,175582,240,304.32,198,278.32,Hamburger SV,Borussia Mgladbach,5,B. Hrgota
6821203,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,11500,180,131.32,170,137.32,FC Augsburg,Borussia Mgladbach,1,Raffael
6881957,IZGUBLJENA LOPTA,IZGUBLJENA U POSJEDU,39479,342,306.32,339,318.32,VfL Wolfsburg,Borussia Mgladbach,5,L. Stindl
6883905,IZGUBLJENA LOPTA,IZGUBLJENA U DRIBLINGU,11500,339,245.32,339,256.32,VfL Wolfsburg,Borussia Mgladbach,5,Raffael
