ID,gameID,actionStartTime,actionEndTime,actionID,bindedActionID,actionOptionID,playerID,playerPositionID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionID,targetPositionIDN,touchNumber,playerTeam,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,refPositionX,refPositionY,startPossTime,endPossTime,gameTimeSection,awayTeamSide,action_duration,poss_duration,start_sector,end_sector,ref_sector,domaci,gosti,domaciFormacija,gostiFormacija,gameDate,gameTime,stadium,referee,climate,luna,temperature,viewers,domaciID,gostiID,homeTeamFormacijaID,awayTeamFormacijaID,Pogodaka_domaci,Score_domaci,Pogodaka_gosti,Score_gosti,Assignments
6257310,6261,0.2,1.61,247,0,0,11500,18,RCF,TOCNO DODAVANJE,0,0,66692,13,LCB,1,home,678,466,433.32,381.32,,17.6,0,0.0,0.2,0.31,FirstHalf,right,1.41,0.11,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257520,6261,86.79,90.83,13,0,87,39479,17,LCF,KORNER,0,IZGUBLJEN KORNER,0,0,0,1,home,120,44,446.32,206.32,,21.45,0,0.0,86.79,87.0,FirstHalf,right,4.04,0.21,5,1,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257521,6261,86.79,90.83,211,13,13,39479,17,LCF,NIJE IZGUBLJENA,KORNER,KORNER,0,0,0,1,home,120,44,446.32,206.32,,21.45,0,0.0,86.79,87.0,FirstHalf,right,4.04,0.21,5,1,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257626,6261,145.96,147.83,247,0,0,102647,15,LCM,TOCNO DODAVANJE,0,0,4610,2,LB,1,home,357,317,114.32,93.32,,3.68,0,0.0,145.96,146.0,FirstHalf,right,1.87,0.04,2,1,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257629,6261,145.96,147.83,18,247,191,102647,15,LCM,ODUZETE LOPTE,TOCNO DODAVANJE,U DUELU,4610,2,LB,1,home,357,317,114.32,93.32,,3.68,0,0.0,145.96,146.0,FirstHalf,right,1.87,0.04,2,1,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257631,6261,147.83,149.73,247,0,0,4610,2,LB,TOCNO DODAVANJE,0,0,66692,13,LCB,2,home,282,257,92.32,141.32,,4.65,0,0.0,147.83,148.95,FirstHalf,right,1.9,1.12,1,1,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257675,6261,149.73,151.07,247,0,0,66692,13,LCB,TOCNO DODAVANJE,0,0,39479,17,LCF,2,home,239,555,173.32,217.32,,25.67,0,0.0,149.73,151.07,FirstHalf,right,1.34,1.34,1,2,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257687,6261,151.07,152.14,247,0,0,39479,17,LCF,TOCNO DODAVANJE,0,0,205485,16,RCM,1,home,562,452,225.32,373.32,,15.46,0,0.0,151.07,151.21,FirstHalf,right,1.07,0.14,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257693,6261,152.14,153.06,248,0,0,205485,16,RCM,NETOCNO DODAVANJE,0,0,54769,21,RW,1,home,452,424,375.32,421.32,,4.53,0,0.0,152.14,152.24,FirstHalf,right,0.92,0.1,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
6257696,6261,152.14,153.06,371,248,373,205485,16,RCM,IZGUBLJENA LOPTA,NETOCNO DODAVANJE,IZGUBLJENA U PRIMANJU,54769,21,RW,1,home,452,424,375.32,421.32,,4.53,0,0.0,152.14,152.24,FirstHalf,right,0.92,0.1,6,6,0,Borussia Mgladbach,FC Ingolstadt 04,442,433,2015.11.07 00:00:00,15:30:00,Stadion im Borussia-Park,112,Vedro,Dan,14,52331,10307,10453,20,21,0,1,0,1,0
