ID,gameID,actionStartTime,actionEndTime,actionID,actionOptionID,bindedActionID,playerID,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,playerPositionIDN,targetPositionIDN,touchNumber,actionPosX1,actionPosX2,actionPosY1,actionPosY2,distance,start_sector,end_sector,action_duration,poss_duration
6378096,6370,2.24,4.04,247,0,0,39442,TOCNO DODAVANJE,0,0,5335,RCB,RB,2,345,386,508.32,677.32,14.85,5,6.0,1.8,0.91
6378099,6370,4.04,5.91,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,2,411,530,688.32,761.32,11.42,6,10.0,1.87,0.89
6378110,6370,8.36,8.78,247,0,0,16520,TOCNO DODAVANJE,0,0,77888,RW,ST,3,648,813,760.32,678.32,15.0,10,7.0,0.42,0.0
6378117,6370,8.78,14.7,247,0,0,77888,TOCNO DODAVANJE,0,0,196633,ST,LB,5,813,857,623.32,188.32,37.45,7,3.0,5.92,2.98
6378125,6370,14.7,19.62,247,0,0,196633,TOCNO DODAVANJE,0,0,203576,LB,LW,6,1090,1170,242.32,182.32,8.23,4,4.0,4.92,4.21
6378228,6370,57.0,60.37,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,LCM,2,380,450,361.32,401.32,6.58,6,6.0,3.37,0.3
6378229,6370,57.0,60.37,211,247,247,21022,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,40700,LCB,LCM,2,380,450,361.32,401.32,6.58,6,6.0,3.37,0.3
6378235,6370,60.37,62.56,247,0,0,40700,TOCNO DODAVANJE,0,0,16520,LCM,RW,2,488,490,463.32,643.32,15.42,6,6.0,2.19,1.09
6378241,6370,62.56,66.26,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,2,482,339,650.32,583.32,12.84,6,5.0,3.7,0.82
6378248,6370,66.26,69.48,15,248,248,5335,LOPTA PO ZRAKU,NETOCNO DODAVANJE,NETOCNO DODAVANJE,29434,RB,RCM,2,316,610,688.32,675.32,23.65,5,6.0,3.22,1.7
6378559,6370,142.28,146.73,211,248,248,39442,NIJE IZGUBLJENA,NETOCNO DODAVANJE,NETOCNO DODAVANJE,196781,RCB,LW,5,126,183,776.32,763.32,4.71,9,9.0,4.45,3.36
6378578,6370,150.51,151.38,247,0,0,39442,TOCNO DODAVANJE,0,0,196661,RCB,RCM,1,168,198,608.32,622.32,2.69,5,5.0,0.87,0.16
6378579,6370,150.51,151.38,211,247,247,39442,NIJE IZGUBLJENA,TOCNO DODAVANJE,TOCNO DODAVANJE,196661,RCB,RCM,1,168,198,608.32,622.32,2.69,5,5.0,0.87,0.16
6378714,6370,206.43,207.87,247,0,0,21022,TOCNO DODAVANJE,0,0,196661,LCB,RCM,1,467,570,460.32,487.32,8.59,6,6.0,1.44,0.18
6378796,6370,218.18,220.29,247,0,0,39442,TOCNO DODAVANJE,0,0,21022,RCB,LCB,1,563,437,536.32,349.32,18.95,6,2.0,2.11,0.17
6378797,6370,218.18,220.29,261,171,247,39442,IZVODENJE SLOBODNOG UDARCA,TOCNO DODAVANJE,SLOBODAN UDARAC DODAVANJE,21022,RCB,LCB,1,563,437,536.32,349.32,18.95,6,2.0,2.11,0.17
6378827,6370,220.26,222.81,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,LCM,2,441,488,358.32,170.32,16.55,6,2.0,2.55,0.94
6378828,6370,222.81,225.32,247,0,0,40700,TOCNO DODAVANJE,0,0,196633,LCM,LB,3,534,677,135.32,77.32,12.52,2,2.0,2.51,1.8
6378847,6370,230.57,231.37,247,0,0,203576,TOCNO DODAVANJE,0,0,196661,LW,RCM,2,621,566,80.32,153.32,7.66,2,2.0,0.8,0.17
6379047,6370,282.72,283.7,320,330,31,196633,GRESKA PRIJE GOLA,UDARAC U OKVIR,JEDAN NA JEDAN ISPAO NAIVNO,0,LB,0,0,123,50,389.32,394.32,5.88,5,5.0,0.98,0.1
6379051,6370,282.72,283.7,320,327,31,39442,GRESKA PRIJE GOLA,UDARAC U OKVIR,LOSE POSTAVLJANJE,0,RCB,0,0,123,50,389.32,394.32,5.88,5,5.0,0.98,0.1
6379092,6370,334.17,334.32,247,0,0,1802,TOCNO DODAVANJE,0,0,77888,CAM,ST,1,669,675,426.32,420.32,0.7,6,6.0,0.15,0.15
6379096,6370,334.32,334.67,247,0,0,77888,TOCNO DODAVANJE,0,0,40700,ST,LCM,1,681,566,412.32,350.32,10.66,6,6.0,0.35,0.16
6379100,6370,334.67,336.43,247,0,0,40700,TOCNO DODAVANJE,0,0,21022,LCM,LCB,3,544,391,330.32,294.32,12.67,2,2.0,1.76,0.31
6379103,6370,336.43,337.97,247,0,0,21022,TOCNO DODAVANJE,0,0,39442,LCB,RCB,2,384,403,318.32,493.32,15.07,2,6.0,1.54,0.59
6379108,6370,337.97,341.1,247,0,0,39442,TOCNO DODAVANJE,0,0,40700,RCB,LCM,4,434,482,481.32,399.32,8.01,6,6.0,3.13,2.2
6379113,6370,341.1,342.87,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,LCM,RCB,1,478,375,398.32,441.32,9.06,6,6.0,1.77,0.28
6379118,6370,342.87,345.22,247,0,0,39442,TOCNO DODAVANJE,0,0,196661,RCB,RCM,3,374,424,468.32,662.32,17.1,6,6.0,2.35,1.23
6379123,6370,345.22,348.12,247,0,0,196661,TOCNO DODAVANJE,0,0,40700,RCM,LCM,2,525,487,665.32,563.32,9.26,6,6.0,2.9,1.85
6379128,6370,348.12,350.01,247,0,0,40700,TOCNO DODAVANJE,0,0,196661,LCM,RCM,2,486,472,561.32,669.32,9.32,6,6.0,1.89,1.14
6379130,6370,350.01,352.88,247,0,0,196661,TOCNO DODAVANJE,0,0,21022,RCM,LCB,2,462,398,651.32,339.32,27.23,6,2.0,2.87,0.91
6379139,6370,352.88,356.45,247,0,0,21022,TOCNO DODAVANJE,0,0,1802,LCB,CAM,5,554,585,330.32,294.32,3.96,2,2.0,3.57,2.88
6379142,6370,356.45,359.9,247,0,0,1802,TOCNO DODAVANJE,0,0,5335,CAM,RB,2,563,610,336.32,706.32,31.93,2,10.0,3.45,1.61
6379148,6370,359.9,362.14,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,3,638,808,722.32,761.32,14.06,10,11.0,2.24,1.35
6379151,6370,362.14,363.31,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,1,817,574,764.32,712.32,20.02,11,10.0,1.17,0.18
6379153,6370,363.31,366.88,247,0,0,5335,TOCNO DODAVANJE,0,0,8570,RB,GK,2,569,297,697.32,509.32,27.15,6,5.0,3.57,0.98
6379165,6370,366.88,369.83,247,0,0,8570,TOCNO DODAVANJE,0,0,21022,GK,LCB,2,307,436,483.32,197.32,26.61,5,2.0,2.95,0.9
6379170,6370,369.83,375.47,247,0,0,21022,TOCNO DODAVANJE,0,0,40700,LCB,LCM,5,406,287,287.32,456.32,17.35,2,5.0,5.64,3.56
6379174,6370,375.47,377.31,247,0,0,40700,TOCNO DODAVANJE,0,0,39442,LCM,RCB,1,288,362,461.32,659.32,17.98,5,6.0,1.84,0.2
6379182,6370,377.31,385.07,247,0,0,39442,TOCNO DODAVANJE,0,0,16520,RCB,RW,8,741,887,692.32,697.32,11.73,7,7.0,7.76,7.32
6379185,6370,385.07,385.9,247,0,0,16520,TOCNO DODAVANJE,0,0,5335,RW,RB,1,885,841,696.32,759.32,6.45,7,11.0,0.83,0.21
6379196,6370,385.9,389.64,247,0,0,5335,TOCNO DODAVANJE,0,0,16520,RB,RW,2,836,1026,777.32,775.32,15.26,11,11.0,3.74,0.76
