ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,domaci,gosti,name
6306885,CENTARSUT,LOS,126631,1251,720.32,1208,531.32,Borussia Mgladbach,Hannover 96,J. Korb
6307656,CENTARSUT,DOBAR,126631,1115,717.32,1143,484.32,Borussia Mgladbach,Hannover 96,J. Korb
6313248,CENTARSUT,DOBAR,4610,126,717.32,249,514.32,Borussia Mgladbach,Hannover 96,O. Wendt
6344571,CENTARSUT,UHVACEN,126631,1088,727.32,1246,421.32,Borussia Mgladbach,Sevilla CF,J. Korb
6345695,CENTARSUT,DOBAR,115078,1218,725.32,1194,307.32,Borussia Mgladbach,Sevilla CF,J. Drmic
6370992,CENTARSUT,DOBAR,11500,1167,763.32,1200,340.32,TSG 1899 Hoffenheim,Borussia Mgladbach,Raffael
6379213,CENTARSUT,LOS,4610,253,772.32,174,575.32,TSG 1899 Hoffenheim,Borussia Mgladbach,O. Wendt
6403115,CENTARSUT,DOBAR,39479,1122,708.32,1168,477.32,Borussia Mgladbach,FC Bayern Munchen,L. Stindl
6405967,CENTARSUT,LOS,16087,347,687.32,216,486.32,Borussia Mgladbach,FC Bayern Munchen,H. Nordtveit
6407244,CENTARSUT,LOS,4610,256,743.32,181,494.32,Borussia Mgladbach,FC Bayern Munchen,O. Wendt
6459672,CENTARSUT,LOS,16491,61,705.32,72,574.32,Bayer 04 Leverkusen,Borussia Mgladbach,I. Traore
6587525,CENTARSUT,DOBAR,16491,90,729.32,141,452.32,Borussia Mgladbach,Borussia Dortmund,I. Traore
6724320,CENTARSUT,DOBAR,156709,1163,688.32,1208,480.32,Hamburger SV,Borussia Mgladbach,T. Hazard
6859304,CENTARSUT,UHVACEN,156709,1218,695.32,1266,427.32,Borussia Mgladbach,VfB Stuttgart,T. Hazard
