ID,actionIDNaziv,actionOptionIDN,playerID,actionPosX1,actionPosY1,actionPosX2,actionPosY2,name
6269058,UDARAC,PO ZRAKU,156709,172,392.32,79,411.32,T. Hazard
6269059,UDARAC,DESNA NOGA,156709,172,392.32,79,411.32,T. Hazard
6269097,UDARAC,DESNA NOGA,156709,104,350.32,66,360.32,T. Hazard
6269098,UDARAC,LOS,156709,104,350.32,66,360.32,T. Hazard
6313958,UDARAC,UDARAC U BLOK,16491,251,343.32,176,384.32,I. Traore
6313961,UDARAC,LIJEVA NOGA,16491,251,343.32,176,384.32,I. Traore
6313966,UDARAC,PO ZEMLJI,16491,251,343.32,176,384.32,I. Traore
6314305,UDARAC,PO ZRAKU,39479,129,434.32,64,473.32,L. Stindl
6314306,UDARAC,GLAVOM,39479,129,434.32,64,473.32,L. Stindl
6315325,UDARAC,PO ZRAKU,16087,254,214.32,77,369.32,H. Nordtveit
6315327,UDARAC,DESNA NOGA,16087,254,214.32,77,369.32,H. Nordtveit
6315329,UDARAC,ZONA,16087,254,214.32,77,369.32,H. Nordtveit
6315558,UDARAC,PO ZEMLJI,11500,307,316.32,101,355.32,Raffael
6315559,UDARAC,LIJEVA NOGA,11500,307,316.32,101,355.32,Raffael
6315561,UDARAC,ZONA,11500,307,316.32,101,355.32,Raffael
6316424,UDARAC,PO ZRAKU,11500,130,387.32,50,415.32,Raffael
6316426,UDARAC,DESNA NOGA,11500,130,387.32,50,415.32,Raffael
6316427,UDARAC,ODLICAN,11500,130,387.32,50,415.32,Raffael
6316955,UDARAC,PO ZRAKU,16894,162,243.32,85,359.32,F. Johnson
6316957,UDARAC,DESNA NOGA,16894,162,243.32,85,359.32,F. Johnson
6317044,UDARAC,PO ZRAKU,115078,241,302.32,72,391.32,J. Drmic
6317045,UDARAC,DESNA NOGA,115078,241,302.32,72,391.32,J. Drmic
6346719,UDARAC,DESNA NOGA,11500,251,330.32,233,347.32,Raffael
6346720,UDARAC,UDARAC U BLOK,11500,251,330.32,233,347.32,Raffael
6346721,UDARAC,PO ZEMLJI,11500,251,330.32,233,347.32,Raffael
6347454,UDARAC,DESNA NOGA,11500,171,345.32,51,405.32,Raffael
6347455,UDARAC,PO ZEMLJI,11500,171,345.32,51,405.32,Raffael
6347456,UDARAC,ODLICAN,11500,171,345.32,51,405.32,Raffael
6347617,UDARAC,DESNA NOGA,39479,341,309.32,50,455.32,L. Stindl
6347618,UDARAC,PO ZEMLJI,39479,341,309.32,50,455.32,L. Stindl
6347619,UDARAC,ODLICAN,39479,341,309.32,50,455.32,L. Stindl
6375971,UDARAC,DESNA NOGA,11500,207,411.32,62,483.32,Raffael
6375972,UDARAC,ODLICAN,11500,207,411.32,62,483.32,Raffael
6375973,UDARAC,PO ZRAKU,11500,207,411.32,62,483.32,Raffael
6376730,UDARAC,ODLICAN,115078,135,410.32,50,390.32,J. Drmic
6376734,UDARAC,PO ZRAKU,115078,135,410.32,50,390.32,J. Drmic
6376735,UDARAC,GLAVOM,115078,135,410.32,50,390.32,J. Drmic
6380257,UDARAC,LIJEVA NOGA,16894,147,366.32,50,389.32,F. Johnson
6380258,UDARAC,ODLICAN,16894,147,366.32,50,389.32,F. Johnson
6380259,UDARAC,PO ZRAKU,16894,147,366.32,50,389.32,F. Johnson
6406126,UDARAC,PO ZRAKU,205485,215,290.32,60,330.32,M. Dahoud
6406128,UDARAC,LOS,205485,215,290.32,60,330.32,M. Dahoud
6406129,UDARAC,ZONA,205485,215,290.32,60,330.32,M. Dahoud
6406131,UDARAC,DESNA NOGA,205485,215,290.32,60,330.32,M. Dahoud
6406132,UDARAC,IZ VOLEJA,205485,215,290.32,60,330.32,M. Dahoud
6407362,UDARAC,PO ZEMLJI,126631,195,353.32,150,376.32,J. Korb
6407363,UDARAC,ODLICAN,126631,195,353.32,150,376.32,J. Korb
6407364,UDARAC,ZONA,126631,195,353.32,150,376.32,J. Korb
6407366,UDARAC,DESNA NOGA,126631,195,353.32,150,376.32,J. Korb
6407512,UDARAC,PO ZRAKU,39479,175,394.32,50,420.32,L. Stindl
6407515,UDARAC,ODLICAN,39479,175,394.32,50,420.32,L. Stindl
6407518,UDARAC,ZONA,39479,175,394.32,50,420.32,L. Stindl
6407519,UDARAC,DESNA NOGA,39479,175,394.32,50,420.32,L. Stindl
6410365,UDARAC,UDARAC U BLOK,115078,236,448.32,225,446.32,J. Drmic
6410367,UDARAC,PO ZRAKU,115078,236,448.32,225,446.32,J. Drmic
6410368,UDARAC,LOS,115078,236,448.32,225,446.32,J. Drmic
6410370,UDARAC,DESNA NOGA,115078,236,448.32,225,446.32,J. Drmic
6427514,UDARAC,PO ZEMLJI,16894,194,345.32,50,443.32,F. Johnson
6427515,UDARAC,ODLICAN,16894,194,345.32,50,443.32,F. Johnson
6427516,UDARAC,ZONA,16894,194,345.32,50,443.32,F. Johnson
6427517,UDARAC,DESNA NOGA,16894,194,345.32,50,443.32,F. Johnson
6429437,UDARAC,DESNA NOGA,126631,174,268.32,65,380.32,J. Korb
6429438,UDARAC,ODLICAN,126631,174,268.32,65,380.32,J. Korb
6429439,UDARAC,PO ZRAKU,126631,174,268.32,65,380.32,J. Korb
6430386,UDARAC,PO ZRAKU,126631,199,306.32,50,441.32,J. Korb
6430387,UDARAC,ODLICAN,126631,199,306.32,50,441.32,J. Korb
6430388,UDARAC,DESNA NOGA,126631,199,306.32,50,441.32,J. Korb
6455919,UDARAC,UDARAC U BLOK,115078,222,307.32,210,319.32,J. Drmic
6455923,UDARAC,DESNA NOGA,115078,222,307.32,210,319.32,J. Drmic
6459786,UDARAC,DESNA NOGA,126631,145,289.32,67,469.32,J. Korb
6459788,UDARAC,PO ZRAKU,126631,145,289.32,67,469.32,J. Korb
6584469,UDARAC,PO ZRAKU,16491,168,310.32,159,320.32,I. Traore
6584471,UDARAC,LOS,16491,168,310.32,159,320.32,I. Traore
6584472,UDARAC,ZONA,16491,168,310.32,159,320.32,I. Traore
6584473,UDARAC,LIJEVA NOGA,16491,168,310.32,159,320.32,I. Traore
6584508,UDARAC,PO ZRAKU,39479,261,425.32,57,494.32,L. Stindl
6584509,UDARAC,LOS,39479,261,425.32,57,494.32,L. Stindl
6584511,UDARAC,IZ VOLEJA,39479,261,425.32,57,494.32,L. Stindl
