playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,distance,poss_duration,start_sector,end_sector,playerName,targetName
1802,CAM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,17.71,0.51,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,IZ VOLEJA,0,0,17.71,0.51,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,17.71,0.51,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,17.71,0.51,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,19.79,1.11,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,19.79,1.11,12,8,A. Meier,
1802,CAM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,19.79,1.11,12,8,A. Meier,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,8.17,1.74,8,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,8.17,1.74,8,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,8.17,1.74,8,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,14.01,0.98,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,14.01,0.98,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,14.01,0.98,12,8,H. Seferovic,
199745,RCM,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,22.06,2.28,11,8,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,LOS,0,0,22.06,2.28,11,8,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,22.06,2.28,11,8,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,13.6,0.89,12,8,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,13.6,0.89,12,8,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,13.6,0.89,12,8,M. Stendera,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,12.89,0.78,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,12.89,0.78,8,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,12.89,0.78,8,8,A. Meier,
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,5.46,0.14,9,5,A. Ignjovski,
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,5.46,0.14,9,5,A. Ignjovski,
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,5.46,0.14,9,5,A. Ignjovski,
16520,RW,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,6.51,0.17,5,5,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,LOS,0,0,6.51,0.17,5,5,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,6.51,0.17,5,5,S. Aigner,
199745,RCM,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,27.28,1.74,13,5,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,27.28,1.74,13,5,M. Stendera,
199745,RCM,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,27.28,1.74,13,5,M. Stendera,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,4.34,0.37,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,4.34,0.37,5,5,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,4.34,0.37,5,5,H. Seferovic,
16520,RW,UDARAC,UDARAC U OKVIR,DESNA NOGA,0,0,5.9,0.76,9,5,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,5.9,0.76,9,5,S. Aigner,
16520,RW,UDARAC,UDARAC U OKVIR,ODLICAN,0,0,5.9,0.76,9,5,S. Aigner,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,2.09,0.0,5,5,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,2.09,0.0,5,5,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,2.09,0.0,5,5,A. Meier,
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,3.7,0.0,9,9,S. Medojevic,
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,3.7,0.0,9,9,S. Medojevic,
40700,RCM,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,4.58,0.0,5,5,S. Medojevic,
40700,RCM,UDARAC,UDARAC U OKVIR,GLAVOM,0,0,4.58,0.0,5,5,S. Medojevic,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,12.58,2.11,12,12,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,12.58,2.11,12,12,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,8.37,0.0,8,8,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,8.37,0.0,8,8,S. Aigner,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,16.01,0.19,7,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,16.01,0.19,7,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,16.01,0.19,7,8,A. Meier,
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,16.01,0.19,7,8,A. Meier,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,18.26,1.71,12,8,S. Aigner,
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,18.26,1.71,12,8,S. Aigner,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,11.16,0.19,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,11.16,0.19,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZEMLJI,0,0,17.97,0.17,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,LIJEVA NOGA,0,0,17.97,0.17,12,8,H. Seferovic,
77888,ST,UDARAC,UDARAC U OKVIR,PO ZRAKU,0,0,3.13,0.45,8,8,H. Seferovic,
