playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,goalZone,distance,start_sector,end_sector,playerName
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label65,12.89,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label65,12.89,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,12.89,8,8,A. Meier
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label66,5.46,9,5,A. Ignjovski
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label66,5.46,9,5,A. Ignjovski
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,5.46,9,5,A. Ignjovski
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label66,4.34,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,4.34,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label66,4.34,5,5,H. Seferovic
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label64,2.09,5,5,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label64,2.09,5,5,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label64,2.09,5,5,A. Meier
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label68,3.7,9,9,S. Medojevic
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label68,3.7,9,9,S. Medojevic
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label51,12.58,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label51,12.58,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label65,8.37,8,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,8.37,8,8,S. Aigner
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label60,16.01,7,8,A. Meier
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label57,18.26,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label57,18.26,12,8,S. Aigner
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label52,11.16,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label52,11.16,12,8,H. Seferovic
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,Label53,11.98,5,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label53,11.98,5,9,A. Ignjovski
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label50,8.88,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label50,8.88,5,5,S. Aigner
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label66,6.33,5,5,L. Abraham
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label66,6.33,5,5,L. Abraham
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,Label53,29.22,5,9,M. Stendera
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label53,29.22,5,9,M. Stendera
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,Label65,7.38,9,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label65,7.38,9,9,S. Aigner
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,Label52,3.39,9,9,M. Stendera
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,Label52,3.39,9,9,M. Stendera
