id,label,weighted_indegree,weighted_outdegree
16894,F. Johnson,16612.0,11462.0
11500,Raffael,19552.0,15951.0
102647,G. Xhaka,21461.0,28801.0
4610,O. Wendt,18538.0,24587.0
66692,A. Dominguez,1520.0,187.0
39479,L. Stindl,22853.0,20432.0
16087,H. Nordtveit,24375.0,40703.0
206309,A. Christensen,22299.0,34822.0
11341,Y. Sommer,14661.0,13540.0
16491,I. Traore,7758.0,2207.0
205485,M. Dahoud,16704.0,15702.0
115078,J. Drmic,4512.0,704.0
156709,T. Hazard,10727.0,4019.0
205180,N. Elvedi,10377.0,10315.0
126631,J. Korb,9874.0,7179.0
65256,T. Jantschke,2631.0,749.0
206094,M. Schulz,163.0,8.0
16901,R. Brouwers,44.0,11.0
127794,M. Hinteregger,6581.0,3805.0
185121,J. Hofmann,1931.0,106.0
175582,B. Hrgota,850.0,33.0
4613,M. Stranzl,13.0,3.0
101192,P. Herrmann,1346.0,56.0
