playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,goalZone,distance,start_sector,end_sector,playerName
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1127,1276,449.32,393.32,Label65,12.89,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1127,1276,449.32,393.32,Label65,12.89,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1127,1276,449.32,393.32,Label65,12.89,8,8,A. Meier
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,84,64,502.32,441.32,Label66,5.46,9,5,A. Ignjovski
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,84,64,502.32,441.32,Label66,5.46,9,5,A. Ignjovski
196661,LW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,84,64,502.32,441.32,Label66,5.46,9,5,A. Ignjovski
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,118,71,356.32,381.32,Label66,4.34,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,118,71,356.32,381.32,Label66,4.34,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,118,71,356.32,381.32,Label66,4.34,5,5,H. Seferovic
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,150,145,387.32,411.32,Label64,2.09,5,5,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,150,145,387.32,411.32,Label64,2.09,5,5,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,150,145,387.32,411.32,Label64,2.09,5,5,A. Meier
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,123,77,489.32,491.32,Label68,3.7,9,9,S. Medojevic
40700,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,123,77,489.32,491.32,Label68,3.7,9,9,S. Medojevic
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1119,1262,552.32,492.32,Label51,12.58,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1119,1262,552.32,492.32,Label51,12.58,12,12,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1153,1256,433.32,418.32,Label65,8.37,8,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1153,1256,433.32,418.32,Label65,8.37,8,8,S. Aigner
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,1035,1217,401.32,325.32,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1035,1217,401.32,325.32,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1035,1217,401.32,325.32,Label60,16.01,7,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1035,1217,401.32,325.32,Label60,16.01,7,8,A. Meier
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,1130,1250,562.32,381.32,Label57,18.26,12,8,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1130,1250,562.32,381.32,Label57,18.26,12,8,S. Aigner
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1168,1244,478.32,369.32,Label52,11.16,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1168,1244,478.32,369.32,Label52,11.16,12,8,H. Seferovic
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,362,127,182.32,452.32,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,362,127,182.32,452.32,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,362,127,182.32,452.32,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,362,127,182.32,452.32,Label61,29.86,2,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,234,114,381.32,464.32,Label53,11.98,5,9,A. Ignjovski
196661,RCM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,234,114,381.32,464.32,Label53,11.98,5,9,A. Ignjovski
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,205,95,240.32,229.32,Label50,8.88,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,205,95,240.32,229.32,Label50,8.88,5,5,S. Aigner
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,142,65,428.32,412.32,Label66,6.33,5,5,L. Abraham
21022,LCB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,142,65,428.32,412.32,Label66,6.33,5,5,L. Abraham
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,309,70,254.32,511.32,Label53,29.22,5,9,M. Stendera
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,309,70,254.32,511.32,Label53,29.22,5,9,M. Stendera
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,148,66,490.32,451.32,Label65,7.38,9,9,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,148,66,490.32,451.32,Label65,7.38,9,9,S. Aigner
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,99,62,511.32,492.32,Label52,3.39,9,9,M. Stendera
199745,CAM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,99,62,511.32,492.32,Label52,3.39,9,9,M. Stendera
44079,LDM,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1040,1204,503.32,411.32,Label53,15.35,11,8,S. Reinartz
44079,LDM,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1040,1204,503.32,411.32,Label53,15.35,11,8,S. Reinartz
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,ZONA,0,0,1060,1281,619.32,543.32,Label97,18.91,12,12,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1060,1281,619.32,543.32,Label97,18.91,12,12,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,1060,1281,619.32,543.32,Label97,18.91,12,12,H. Seferovic
67519,RES,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1224,1285,568.32,495.32,Label94,7.94,12,12,V. Kadlec
67519,RES,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1224,1285,568.32,495.32,Label94,7.94,12,12,V. Kadlec
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1147,1277,308.32,352.32,Label52,11.1,8,8,C. Djakpa
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1147,1277,308.32,352.32,Label52,11.1,8,8,C. Djakpa
12956,LB,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1147,1277,308.32,352.32,Label52,11.1,8,8,C. Djakpa
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,190,64,421.32,364.32,Label67,11.24,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,190,64,421.32,364.32,Label67,11.24,5,5,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,190,64,421.32,364.32,Label67,11.24,5,5,H. Seferovic
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,127,60,236.32,334.32,Label66,9.97,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,127,60,236.32,334.32,Label66,9.97,5,5,S. Aigner
16520,RW,UDARAC,UDARAC IZVAN OKVIRA,IZ VOLEJA,0,0,127,60,236.32,334.32,Label66,9.97,5,5,S. Aigner
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1137,1284,499.32,414.32,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1137,1284,499.32,414.32,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1137,1284,499.32,414.32,Label66,13.87,12,8,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LIJEVA NOGA,0,0,1169,1244,519.32,64.32,Label63,39.46,12,4,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,LOS,0,0,1169,1244,519.32,64.32,Label63,39.46,12,4,H. Seferovic
77888,ST,UDARAC,UDARAC IZVAN OKVIRA,PO ZEMLJI,0,0,1169,1244,519.32,64.32,Label63,39.46,12,4,H. Seferovic
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,GLAVOM,0,0,1157,1276,417.32,331.32,Label52,12.07,8,8,A. Meier
1802,CAM,UDARAC,UDARAC IZVAN OKVIRA,PO ZRAKU,0,0,1157,1276,417.32,331.32,Label52,12.07,8,8,A. Meier
196633,LB,UDARAC,UDARAC IZVAN OKVIRA,DESNA NOGA,0,0,1074,1279,318.32,368.32,Label57,17.02,8,8,B. Oczipka
