playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,poss_duration,start_sector,end_sector,playerName,targetName,Weight
126631,RB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,39479,RCF,675,679,345.32,471.32,4.02,6,10,J. Korb,L. Stindl,2
16087,LCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,126631,RB,1126,1025,408.32,298.32,0.44,8,7,H. Nordtveit,J. Korb,1
205485,RCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,LCF,518,648,608.32,569.32,0.09,10,10,M. Dahoud,Raffael,2
126631,RW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,206309,RCB,109,223,728.32,511.32,0.15,13,9,J. Korb,A. Christensen,1
39479,RCF,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,205485,RCM,827,873,199.32,233.32,0.0,3,7,L. Stindl,M. Dahoud,2
39479,RCF,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,115078,LCF,751,865,528.32,295.32,1.97,11,7,L. Stindl,J. Drmic,1
102647,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,39479,RCF,428,519,178.32,222.32,1.56,2,2,G. Xhaka,L. Stindl,1
11341,GK,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,16894,LW,244,511,392.32,187.32,0.77,5,2,Y. Sommer,F. Johnson,1
126631,RB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,156709,RW,397,481,560.32,481.32,1.15,10,10,J. Korb,T. Hazard,1
206309,RCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,LCF,1199,1057,436.32,400.32,0.0,8,8,A. Christensen,Raffael,1
39479,RCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,ST,552,661,538.32,558.32,0.18,10,10,L. Stindl,Raffael,1
127794,LCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,ST,195,335,232.32,175.32,0.18,5,1,M. Hinteregger,Raffael,1
156709,RW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,LCF,710,971,374.32,127.32,2.99,7,3,T. Hazard,Raffael,1
39479,RCF,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,LCF,914,973,430.32,243.32,2.05,7,7,L. Stindl,Raffael,1
205485,LCM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,39479,RCF,505,799,552.32,617.32,0.18,10,11,M. Dahoud,L. Stindl,1
156709,RW,KONTRA NAPAD,TOCNO DODAVANJE,POCETAK KONTRA NAPADA 1,39479,RCF,606,143,139.32,239.32,12.19,2,5,T. Hazard,L. Stindl,1
206309,RCB,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,156709,RCF,1120,536,406.32,778.32,0.08,8,14,A. Christensen,T. Hazard,1
16894,LW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,LCF,941,760,737.32,631.32,2.26,15,11,F. Johnson,Raffael,1
205485,RDM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,11500,ST,533,575,373.32,358.32,0.34,6,6,M. Dahoud,Raffael,2
127794,LW,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,156709,RCM,888,833,708.32,760.32,3.32,15,15,M. Hinteregger,T. Hazard,1
126631,RDM,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,39479,LCM,1053,998,495.32,570.32,0.18,12,11,J. Korb,L. Stindl,2
39479,RCF,KONTRA NAPAD,0,POCETAK KONTRA NAPADA 1,101192,RCM,912,1034,251.32,435.32,3.0,7,7,L. Stindl,P. Herrmann,2
