playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,name
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,104,71,546.32,460.32,9,9,L. Abraham
39442,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,199745,RCM,1201,1175,242.32,283.32,8,8,C. Zambrano
196633,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,156937,ST,127,115,212.32,391.32,1,5,B. Oczipka
5335,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,116414,RW,144,164,652.32,377.32,9,5,M. Hasebe
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,203576,LW,348,270,533.32,458.32,9,9,L. Abraham
16520,RW,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,21022,LCB,1169,1225,162.32,439.32,4,8,S. Aigner
39442,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,5335,RB,1139,1100,310.32,158.32,8,4,C. Zambrano
196633,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,5335,RB,125,137,189.32,463.32,1,9,B. Oczipka
39442,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,80,91,526.32,456.32,9,9,C. Zambrano
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,196661,RB,1186,1215,449.32,474.32,8,12,L. Abraham
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,GOL OUT,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1082,1308,479.32,284.32,12,8,L. Abraham
5335,CDM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,12956,LB,917,1025,288.32,515.32,7,11,M. Hasebe
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,39797,RW,1177,1249,269.32,530.32,8,12,L. Abraham
12956,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1232,1280,475.32,468.32,12,12,C. Djakpa
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,262,64,277.32,487.32,5,9,L. Abraham
196633,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,255,64,306.32,487.32,5,9,B. Oczipka
196661,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,TOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,210557,LW,180,270,677.32,386.32,13,5,A. Ignjovski
5335,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,8570,GK,1252,1263,251.32,365.32,8,8,M. Hasebe
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,231,80,301.32,422.32,5,5,L. Abraham
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,OUT,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1134,988,611.32,19.32,12,3,L. Abraham
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,212,69,356.32,484.32,5,9,L. Abraham
21022,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,196633,LWB,134,136,171.32,278.32,1,5,L. Abraham
39442,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,270,74,567.32,441.32,9,5,C. Zambrano
