playerID,playerPositionIDN,actionIDNaziv,bindedActionIDN,actionOptionIDN,targetPlayerID,targetPositionIDN,actionPosX1,actionPosX2,actionPosY1,actionPosY2,start_sector,end_sector,name
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,206309,RCB,257,268,384.32,415.32,5,5,J. Korb
16087,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,227,78,269.32,367.32,5,5,H. Nordtveit
206309,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,165,78,278.32,367.32,5,5,A. Christensen
206309,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,102647,LCM,148,112,647.32,480.32,9,9,A. Christensen
4610,LB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,105,67,217.32,602.32,1,9,O. Wendt
206309,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,11341,GK,1191,1258,245.32,387.32,8,8,A. Christensen
126631,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,229,84,583.32,432.32,9,5,J. Korb
206309,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1215,1295,487.32,400.32,12,8,A. Christensen
16087,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1090,1275,393.32,358.32,8,8,H. Nordtveit
205180,RB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,NETOCNO DODAVANJE,IZGUBLJEN U ZADNJOJ LINIJI,206309,RCB,153,186,513.32,460.32,9,9,N. Elvedi
16087,LCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,289,70,341.32,485.32,5,9,H. Nordtveit
16087,CDM,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC IZVAN OKVIRA,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1037,1261,446.32,434.32,7,8,H. Nordtveit
205180,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1138,1295,405.32,455.32,8,12,N. Elvedi
205180,RCB,DEFANZIVNI DRIBLING 1 NA 1 IZGUBLJEN,UDARAC U OKVIR,IZGUBLJEN U ZADNJOJ LINIJI,0,0,1194,1294,240.32,444.32,8,8,N. Elvedi
